Sample_Name;Sample_SSample_L001
BactV5V7-BC234-91_L001;BactV5V7-BC234-91_S234_L001
BactV5V7-BC235-92_L001;BactV5V7-BC235-92_S235_L001
BactV5V7-BC236-93_L001;BactV5V7-BC236-93_S236_L001
BactV5V7-BC237-94_L001;BactV5V7-BC237-94_S237_L001
BactV5V7-BC230-95_L001;BactV5V7-BC230-95_S230_L001
BactV5V7-BC239-96_L001;BactV5V7-BC239-96_S239_L001
BactV5V7-BC240-97_L001;BactV5V7-BC240-97_S240_L001
BactV5V7-BC241-98_L001;BactV5V7-BC241-98_S241_L001
BactV5V7-BC273-99_L001;BactV5V7-BC273-99_S273_L001
BactV5V7-BC242-100_L001;BactV5V7-BC242-100_S242_L001
BactV5V7-BC243-101_L001;BactV5V7-BC243-101_S243_L001
BactV5V7-BC244-102_L001;BactV5V7-BC244-102_S244_L001
BactV5V7-BC245-103_L001;BactV5V7-BC245-103_S245_L001
BactV5V7-BC274-104_L001;BactV5V7-BC274-104_S274_L001
BactV5V7-BC246-105_L001;BactV5V7-BC246-105_S246_L001
BactV5V7-BC247-106_L001;BactV5V7-BC247-106_S247_L001
BactV5V7-BC248-107_L001;BactV5V7-BC248-107_S248_L001
BactV5V7-BC249-108_L001;BactV5V7-BC249-108_S249_L001
BactV5V7-BC275-109_L001;BactV5V7-BC275-109_S275_L001
BactV5V7-BC250-110_L001;BactV5V7-BC250-110_S250_L001
BactV5V7-BC251-111_L001;BactV5V7-BC251-111_S251_L001
BactV5V7-BC252-112_L001;BactV5V7-BC252-112_S252_L001
BactV5V7-BC276-113_L001;BactV5V7-BC276-113_S276_L001
BactV5V7-BC277-114_L001;BactV5V7-BC277-114_S277_L001
BactV5V7-BC278-115_L001;BactV5V7-BC278-115_S278_L001
BactV5V7-BC253-116_L001;BactV5V7-BC253-116_S253_L001
BactV5V7-BC254-117_L001;BactV5V7-BC254-117_S254_L001
BactV5V7-BC255-118_L001;BactV5V7-BC255-118_S255_L001
BactV5V7-BC256-119_L001;BactV5V7-BC256-119_S256_L001
BactV5V7-BC257-120_L001;BactV5V7-BC257-120_S257_L001
BactV5V7-BC279-121_L001;BactV5V7-BC279-121_S279_L001
BactV5V7-BC280-122_L001;BactV5V7-BC280-122_S280_L001
BactV5V7-BC281-123_L001;BactV5V7-BC281-123_S281_L001
BactV5V7-BC258-124_L001;BactV5V7-BC258-124_S258_L001
BactV5V7-BC259-125_L001;BactV5V7-BC259-125_S259_L001
BactV5V7-BC260-126_L001;BactV5V7-BC260-126_S260_L001
BactV5V7-BC261-127_L001;BactV5V7-BC261-127_S261_L001
BactV5V7-BC262-128_L001;BactV5V7-BC262-128_S262_L001
BactV5V7-BC263-129_L001;BactV5V7-BC263-129_S263_L001
BactV5V7-BC313-130_L001;BactV5V7-BC313-130_S313_L001
BactV5V7-BC34-131_L001;BactV5V7-BC34-131_S34_L001
BactV5V7-BC35-132_L001;BactV5V7-BC35-132_S35_L001
BactV5V7-BC36-133_L001;BactV5V7-BC36-133_S36_L001
BactV5V7-BC37-134_L001;BactV5V7-BC37-134_S37_L001
BactV5V7-BC38-135_L001;BactV5V7-BC38-135_S38_L001
BactV5V7-BC39-136_L001;BactV5V7-BC39-136_S39_L001
BactV5V7-BC40-137_L001;BactV5V7-BC40-137_S40_L001
BactV5V7-BC314-138_L001;BactV5V7-BC314-138_S314_L001
BactV5V7-BC41-139_L001;BactV5V7-BC41-139_S41_L001
BactV5V7-BC42-140_L001;BactV5V7-BC42-140_S42_L001
BactV5V7-BC282-141_L001;BactV5V7-BC282-141_S282_L001
BactV5V7-BC43-142_L001;BactV5V7-BC43-142_S43_L001
BactV5V7-BC44-143_L001;BactV5V7-BC44-143_S44_L001
BactV5V7-BC45-144_L001;BactV5V7-BC45-144_S45_L001
BactV5V7-BC315-145_L001;BactV5V7-BC315-145_S315_L001
BactV5V7-BC316-146_L001;BactV5V7-BC316-146_S316_L001
BactV5V7-BC317-147_L001;BactV5V7-BC317-147_S317_L001
BactV5V7-BC318-148_L001;BactV5V7-BC318-148_S318_L001
BactV5V7-BC319-149_L001;BactV5V7-BC319-149_S319_L001
BactV5V7-BC283-150_L001;BactV5V7-BC283-150_S283_L001
BactV5V7-BC284-151_L001;BactV5V7-BC284-151_S284_L001
BactV5V7-BC320-152_L001;BactV5V7-BC320-152_S320_L001
BactV5V7-BC321-153_L001;BactV5V7-BC321-153_S321_L001
BactV5V7-BC285-154_L001;BactV5V7-BC285-154_S285_L001
BactV5V7-BC286-155_L001;BactV5V7-BC286-155_S286_L001
BactV5V7-BC322-156_L001;BactV5V7-BC322-156_S322_L001
BactV5V7-BC323-157_L001;BactV5V7-BC323-157_S323_L001
BactV5V7-BC324-158_L001;BactV5V7-BC324-158_S324_L001
BactV5V7-BC325-159_L001;BactV5V7-BC325-159_S325_L001
BactV5V7-BC326-160_L001;BactV5V7-BC326-160_S326_L001
BactV5V7-BC327-161_L001;BactV5V7-BC327-161_S327_L001
BactV5V7-BC328-162_L001;BactV5V7-BC328-162_S328_L001
BactV5V7-BC287-163_L001;BactV5V7-BC287-163_S287_L001
BactV5V7-BC46-164_L001;BactV5V7-BC46-164_S46_L001
BactV5V7-BC47-165_L001;BactV5V7-BC47-165_S47_L001
BactV5V7-BC48-166_L001;BactV5V7-BC48-166_S48_L001
BactV5V7-BC49-167_L001;BactV5V7-BC49-167_S49_L001
BactV5V7-BC50-168_L001;BactV5V7-BC50-168_S50_L001
BactV5V7-BC329-169_L001;BactV5V7-BC329-169_S329_L001
BactV5V7-BC330-170_L001;BactV5V7-BC330-170_S330_L001
BactV5V7-BC288-171_L001;BactV5V7-BC288-171_S288_L001
BactV5V7-BC51-172_L001;BactV5V7-BC51-172_S51_L001
BactV5V7-BC52-173_L001;BactV5V7-BC52-173_S52_L001
BactV5V7-BC53-174_L001;BactV5V7-BC53-174_S53_L001
BactV5V7-BC54-175_L001;BactV5V7-BC54-175_S54_L001
BactV5V7-BC55-176_L001;BactV5V7-BC55-176_S55_L001
BactV5V7-BC271-177_L001;BactV5V7-BC271-177_S271_L001
BactV5V7-BC56-178_L001;BactV5V7-BC56-178_S56_L001
BactV5V7-BC57-179_L001;BactV5V7-BC57-179_S57_L001
BactV5V7-BC58-180_L001;BactV5V7-BC58-180_S58_L001
BactV5V7-BC59-181_L001;BactV5V7-BC59-181_S59_L001
BactV5V7-BC60-182_L001;BactV5V7-BC60-182_S60_L001
BactV5V7-BC61-183_L001;BactV5V7-BC61-183_S61_L001
BactV5V7-BC62-184_L001;BactV5V7-BC62-184_S62_L001
BactV5V7-BC63-185_L001;BactV5V7-BC63-185_S63_L001
BactV5V7-BC331-186_L001;BactV5V7-BC331-186_S331_L001
BactV5V7-BC332-187_L001;BactV5V7-BC332-187_S332_L001
BactV5V7-BC333-188_L001;BactV5V7-BC333-188_S333_L001
BactV5V7-BC334-189_L001;BactV5V7-BC334-189_S334_L001
BactV5V7-BC335-190_L001;BactV5V7-BC335-190_S335_L001
BactV5V7-BC336-191_L001;BactV5V7-BC336-191_S336_L001
BactV5V7-BC337-192_L001;BactV5V7-BC337-192_S337_L001
BactV5V7-BC338-193_L001;BactV5V7-BC338-193_S338_L001
BactV5V7-BC339-194_L001;BactV5V7-BC339-194_S339_L001
BactV5V7-BC64-195_L001;BactV5V7-BC64-195_S64_L001
BactV5V7-BC65-196_L001;BactV5V7-BC65-196_S65_L001
BactV5V7-BC66-197_L001;BactV5V7-BC66-197_S66_L001
BactV5V7-BC67-198_L001;BactV5V7-BC67-198_S67_L001
BactV5V7-BC68-199_L001;BactV5V7-BC68-199_S68_L001
BactV5V7-BC69-200_L001;BactV5V7-BC69-200_S69_L001
BactV5V7-BC70-201_L001;BactV5V7-BC70-201_S70_L001
BactV5V7-BC71-202_L001;BactV5V7-BC71-202_S71_L001
BactV5V7-BC72-203_L001;BactV5V7-BC72-203_S72_L001
BactV5V7-BC340-204_L001;BactV5V7-BC340-204_S340_L001
BactV5V7-BC73-205_L001;BactV5V7-BC73-205_S73_L001
BactV5V7-BC341-206_L001;BactV5V7-BC341-206_S341_L001
BactV5V7-BC342-207_L001;BactV5V7-BC342-207_S342_L001
BactV5V7-BC343-208_L001;BactV5V7-BC343-208_S343_L001
BactV5V7-BC74-209_L001;BactV5V7-BC74-209_S74_L001
BactV5V7-BC75-210_L001;BactV5V7-BC75-210_S75_L001
BactV5V7-BC76-211_L001;BactV5V7-BC76-211_S76_L001
BactV5V7-BC344-212_L001;BactV5V7-BC344-212_S344_L001
BactV5V7-BC345-213_L001;BactV5V7-BC345-213_S345_L001
BactV5V7-BC346-214_L001;BactV5V7-BC346-214_S346_L001
BactV5V7-BC347-215_L001;BactV5V7-BC347-215_S347_L001
BactV5V7-BC348-216_L001;BactV5V7-BC348-216_S348_L001
BactV5V7-BC77-217_L001;BactV5V7-BC77-217_S77_L001
BactV5V7-BC78-218_L001;BactV5V7-BC78-218_S78_L001
BactV5V7-BC79-219_L001;BactV5V7-BC79-219_S79_L001
BactV5V7-BC349-220_L001;BactV5V7-BC349-220_S349_L001
BactV5V7-BC350-221_L001;BactV5V7-BC350-221_S350_L001
BactV5V7-BC351-222_L001;BactV5V7-BC351-222_S351_L001
BactV5V7-BC352-223_L001;BactV5V7-BC352-223_S352_L001
BactV5V7-BC353-224_L001;BactV5V7-BC353-224_S353_L001
BactV5V7-BC354-225_L001;BactV5V7-BC354-225_S354_L001
BactV5V7-BC355-226_L001;BactV5V7-BC355-226_S355_L001
BactV5V7-BC356-227_L001;BactV5V7-BC356-227_S356_L001
BactV5V7-BC357-228_L001;BactV5V7-BC357-228_S357_L001
BactV5V7-BC358-229_L001;BactV5V7-BC358-229_S358_L001
BactV5V7-BC359-230_L001;BactV5V7-BC359-230_S359_L001
BactV5V7-BC360-231_L001;BactV5V7-BC360-231_S360_L001
BactV5V7-BC361-232_L001;BactV5V7-BC361-232_S361_L001
BactV5V7-BC362-233_L001;BactV5V7-BC362-233_S362_L001
BactV5V7-BC363-234_L001;BactV5V7-BC363-234_S363_L001
BactV5V7-BC364-235_L001;BactV5V7-BC364-235_S364_L001
BactV5V7-BC365-236_L001;BactV5V7-BC365-236_S365_L001
BactV5V7-BC366-237_L001;BactV5V7-BC366-237_S366_L001
BactV5V7-BC367-238_L001;BactV5V7-BC367-238_S367_L001
BactV5V7-BC368-239_L001;BactV5V7-BC368-239_S368_L001
BactV5V7-BC369-240_L001;BactV5V7-BC369-240_S369_L001
BactV5V7-BC370-241_L001;BactV5V7-BC370-241_S370_L001
BactV5V7-BC371-242_L001;BactV5V7-BC371-242_S371_L001
BactV5V7-BC372-243_L001;BactV5V7-BC372-243_S372_L001
