Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
BactV5V7-BC208-45_S208_L001	Bact_S45	45	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
BactV5V7-BC209-46_S209_L001	Bact_S46	46	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
BactV5V7-BC20-47_S20_L001	Bact_S47	47	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC210-48_S210_L001	Bact_S48	48	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
BactV5V7-BC21-49_S21_L001	Bact_S49	49	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
BactV5V7-BC211-50_S211_L001	Bact_S50	50	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
BactV5V7-BC22-51_S22_L001	Bact_S51	51	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
BactV5V7-BC23-52_S23_L001	Bact_S52	52	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
BactV5V7-BC299-53_S299_L001	Bact_S53	53	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
BactV5V7-BC300-54_S300_L001	Bact_S54	54	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
BactV5V7-BC212-55_S212_L001	Bact_S55	55	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
BactV5V7-BC213-56_S213_L001	Bact_S56	56	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
BactV5V7-BC24-57_S24_L001	Bact_S57	57	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC25-58_S25_L001	Bact_S58	58	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC26-59_S26_L001	Bact_S59	59	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC214-60_S214_L001	Bact_S60	60	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
BactV5V7-BC215-61_S215_L001	Bact_S61	61	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC216-62_S216_L001	Bact_S62	62	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC217-63_S217_L001	Bact_S63	63	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC218-64_S218_L001	Bact_S64	64	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
BactV5V7-BC219-65_S219_L001	Bact_S65	65	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
BactV5V7-BC220-66_S220_L001	Bact_S66	66	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
BactV5V7-BC27-67_S27_L001	Bact_S67	67	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC28-68_S28_L001	Bact_S68	68	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC221-69_S221_L001	Bact_S69	69	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
