Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
BactV5V7-BC337-192_S337_L001	Bact_S192	192	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC338-193_S338_L001	Bact_S193	193	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC339-194_S339_L001	Bact_S194	194	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC64-195_S64_L001	Bact_S195	195	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC65-196_S65_L001	Bact_S196	196	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC66-197_S66_L001	Bact_S197	197	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC67-198_S67_L001	Bact_S198	198	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC68-199_S68_L001	Bact_S199	199	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC69-200_S69_L001	Bact_S200	200	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC70-201_S70_L001	Bact_S201	201	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC71-202_S71_L001	Bact_S202	202	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC72-203_S72_L001	Bact_S203	203	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC340-204_S340_L001	Bact_S204	204	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC73-205_S73_L001	Bact_S205	205	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC341-206_S341_L001	Bact_S206	206	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC342-207_S342_L001	Bact_S207	207	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC343-208_S343_L001	Bact_S208	208	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC74-209_S74_L001	Bact_S209	209	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC75-210_S75_L001	Bact_S210	210	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC76-211_S76_L001	Bact_S211	211	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC344-212_S344_L001	Bact_S212	212	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC345-213_S345_L001	Bact_S213	213	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC346-214_S346_L001	Bact_S214	214	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC347-215_S347_L001	Bact_S215	215	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC348-216_S348_L001	Bact_S216	216	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC77-217_S77_L001	Bact_S217	217	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC78-218_S78_L001	Bact_S218	218	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
BactV5V7-BC79-219_S79_L001	Bact_S219	219	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
BactV5V7-BC349-220_S349_L001	Bact_S220	220	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC350-221_S350_L001	Bact_S221	221	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC351-222_S351_L001	Bact_S222	222	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC352-223_S352_L001	Bact_S223	223	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC353-224_S353_L001	Bact_S224	224	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC354-225_S354_L001	Bact_S225	225	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC355-226_S355_L001	Bact_S226	226	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC356-227_S356_L001	Bact_S227	227	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC357-228_S357_L001	Bact_S228	228	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC358-229_S358_L001	Bact_S229	229	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC359-230_S359_L001	Bact_S230	230	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC360-231_S360_L001	Bact_S231	231	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC361-232_S361_L001	Bact_S232	232	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC362-233_S362_L001	Bact_S233	233	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC363-234_S363_L001	Bact_S234	234	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC364-235_S364_L001	Bact_S235	235	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC365-236_S365_L001	Bact_S236	236	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC366-237_S366_L001	Bact_S237	237	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC367-238_S367_L001	Bact_S238	238	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC368-239_S368_L001	Bact_S239	239	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC369-240_S369_L001	Bact_S240	240	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC370-241_S370_L001	Bact_S241	241	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC371-242_S371_L001	Bact_S242	242	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC372-243_S372_L001	Bact_S243	243	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
BactV5V7-BC373-244_S373_L001	Bact_S244	244	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC374-245_S374_L001	Bact_S245	245	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
BactV5V7-BC375-246_S375_L001	Bact_S246	246	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC376-247_S376_L001	Bact_S247	247	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
BactV5V7-BC377-248_S377_L001	Bact_S248	248	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC378-249_S378_L001	Bact_S249	249	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
BactV5V7-BC264-Cas_S264_L001	Bact_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
BactV5V7-BC266-Cas_S266_L001	Bact_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
BactV5V7-BC267-Cas_S267_L001	Bact_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
BactV5V7-BC379-Cas_S379_L001	Bact_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
BactV5V7-BC380-Cas_S380_L001	Bact_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
BactV5V7-BC381-Cas_S381_L001	Bact_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
BactV5V7-BC382-Cas_S382_L001	Bact_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
BactV5V7-BC265-neg_S265_L001	Bact_SEmpty	Empty	Empty	Empty	neg	Empty	Empty	Empty_Empty_Empty_neg
BactV5V7-BC272-neg_S272_L001	Bact_SEmpty	Empty	Empty	Empty	neg	Empty	Empty	Empty_Empty_Empty_neg
BactV5V7-BC383-neg_S383_L001	Bact_SEmpty	Empty	Empty	Empty	neg	Empty	Empty	Empty_Empty_Empty_neg
