X.Sample_Name...Short_Sample	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
Fun_S54	Fun_S54	54	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S55	Fun_S55	55	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S56	Fun_S56	56	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S57	Fun_S57	57	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S58	Fun_S58	58	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S59	Fun_S59	59	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S60	Fun_S60	60	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
Fun_S61	Fun_S61	61	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S62	Fun_S62	62	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S63	Fun_S63	63	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S64	Fun_S64	64	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S65	Fun_S65	65	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S66	Fun_S66	66	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S67	Fun_S67	67	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S68	Fun_S68	68	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S69	Fun_S69	69	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S70	Fun_S70	70	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S71	Fun_S71	71	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S72	Fun_S72	72	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S73	Fun_S73	73	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S74	Fun_S74	74	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S75	Fun_S75	75	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S76	Fun_S76	76	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S77	Fun_S77	77	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
Fun_S78	Fun_S78	78	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S79	Fun_S79	79	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S80	Fun_S80	80	H. vulgare	BI1	Soil	14 dpi	Hv	Hv_BI1_14dpi_Soil
Fun_S81	Fun_S81	81	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S82	Fun_S82	82	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S83	Fun_S83	83	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S84	Fun_S84	84	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S85	Fun_S85	85	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S86	Fun_S86	86	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S87	Fun_S87	87	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S88	Fun_S88	88	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S89	Fun_S89	89	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S90	Fun_S90	90	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S91	Fun_S91	91	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S92	Fun_S92	92	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S93	Fun_S93	93	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S94	Fun_S94	94	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S95	Fun_S95	95	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S96	Fun_S96	96	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S97	Fun_S97	97	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S98	Fun_S98	98	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S99	Fun_S99	99	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S100	Fun_S100	100	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
Fun_S101	Fun_S101	101	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
Fun_S102	Fun_S102	102	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
Fun_S103	Fun_S103	103	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S104	Fun_S104	104	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
Fun_S105	Fun_S105	105	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
Fun_S106	Fun_S106	106	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
Fun_S107	Fun_S107	107	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
Fun_S108	Fun_S108	108	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S109	Fun_S109	109	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
Fun_S110	Fun_S110	110	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
Fun_S111	Fun_S111	111	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S112	Fun_S112	112	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S113	Fun_S113	113	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
Fun_S114	Fun_S114	114	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
Fun_S115	Fun_S115	115	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
Fun_S116	Fun_S116	116	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
Fun_S117	Fun_S117	117	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
Fun_S118	Fun_S118	118	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
Fun_S119	Fun_S119	119	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
Fun_S120	Fun_S120	120	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
Fun_S121	Fun_S121	121	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
Fun_S122	Fun_S122	122	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
Fun_S123	Fun_S123	123	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
Fun_S124	Fun_S124	124	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
Fun_S125	Fun_S125	125	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
Fun_S126	Fun_S126	126	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
Fun_S127	Fun_S127	127	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
Fun_S128	Fun_S128	128	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
Fun_S129	Fun_S129	129	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
Fun_S130	Fun_S130	130	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
Fun_S131	Fun_S131	131	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
Fun_S132	Fun_S132	132	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
Fun_S133	Fun_S133	133	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
Fun_S134	Fun_S134	134	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
Fun_S135	Fun_S135	135	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
