X.Sample_Name...Short_Sample	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
Fun_S232	Fun_S232	232	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S233	Fun_S233	233	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
Fun_S234	Fun_S234	234	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S235	Fun_S235	235	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
Fun_S236	Fun_S236	236	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
Fun_S237	Fun_S237	237	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
Fun_S238	Fun_S238	238	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
Fun_S239	Fun_S239	239	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
Fun_S240	Fun_S240	240	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_S241	Fun_S241	241	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_S242	Fun_S242	242	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S243	Fun_S243	243	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S244	Fun_S244	244	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
Fun_S245	Fun_S245	245	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
Fun_S246	Fun_S246	246	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
Fun_S247	Fun_S247	247	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
Fun_S248	Fun_S248	248	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_S249	Fun_S249	249	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Seba	Empty	Empty	Empty_Empty_Empty_Seba
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Seba	Empty	Empty	Empty_Empty_Empty_Seba
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Seba	Empty	Empty	Empty_Empty_Empty_Seba
Fun_SEmpty	Fun_SEmpty	Empty	Empty	Empty	Sv	Empty	Empty	Empty_Empty_Empty_Sv
