#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
OomITS-BC72-86_L001	86	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC73-87_L001	87	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC74-88_L001	88	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC97-89_L001	89	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC75-9_L001	9	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC98-90_L001	90	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC99-91_L001	91	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC100-92_L001	92	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC101-93_L001	93	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC102-94_L001	94	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC103-95_L001	95	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC104-96_L001	96	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC105-97_L001	97	A. thaliana	BI1	soil	14 dpi	At	At_BI1_14dpi_soil
OomITS-BC106-98_L001	98	A. thaliana	BI1	soil	14 dpi	At	At_BI1_14dpi_soil
OomITS-BC169-99_L001	99	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC266-Alb_L001	Alb	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC187-Alb_L001	Alb	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC90-Alb_L001	Alb	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC265-Cas_L001	Cas	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC268-Cas_L001	Cas	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC269-Cas_L001	Cas	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC186-Cas_L001	Cas	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC189-Cas_L001	Cas	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC190-Cas_L001	Cas	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC89-Cas_L001	Cas	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC92-Cas_L001	Cas	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC93-Cas_L001	Cas	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC267-neg_L001	neg	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC188-neg_L001	neg	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC91-neg_L001	neg	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC364-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC365-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC366-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC367-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC368-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC369-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC370-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC371-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC372-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC373-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC374-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC375-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC376-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC377-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC378-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC379-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC380-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC381-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC382-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC383-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC384-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC304-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC270-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC271-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC272-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC273-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC274-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC275-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC276-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC277-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC278-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC279-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC280-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC281-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC282-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC283-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC284-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC285-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC286-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC287-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC288-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC289-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC290-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC291-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC292-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC293-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC294-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC295-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC296-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC297-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC298-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC299-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC300-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC301-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC302-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC303-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC344-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC305-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC306-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC191-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC192-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC314-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC315-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC316-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC317-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC318-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC319-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC320-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC321-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC322-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC323-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC324-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC325-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC326-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC327-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC328-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC329-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC330-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC94-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC95-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC96-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC339-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC340-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC341-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC342-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC343-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC357-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC345-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC346-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC347-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC348-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC349-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC350-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC351-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC352-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC353-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC354-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC355-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC356-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC361-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC358-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC359-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC360-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC337-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC362-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC363-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC336-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC332-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC338-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC312-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC313-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC309-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC333-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC334-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC331-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC308-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC310-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC311-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC335-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
OomITS-BC307-x_L001	x	NA	NA	NA	NA	NA	NA_NA_NA_NA
