V1;X01D2Z36;X0319.6G20;X053A03.B.DI.P58;X27F.1492R;X37.13;X67.14;A0839;A21b;A4b;AB1;AKIW781;AKYH767;Acetobacteraceae;Acidiferrobacteraceae;Acidimicrobiaceae;Acidobacteriaceae..Subgroup.1.;Acidothermaceae;Actinobacteria.bacterium.RBG_13_63_9;Actinomycetaceae;Aerococcaceae;Aeromonadaceae;Alicyclobacillaceae;Alteromonadaceae;Ambiguous_taxa;Amoebophilaceae;Archangiaceae;Ardenticatenaceae;Atopobiaceae;Azospirillaceae;B1.7BS;BIrii41;BSV26;Babeliaceae;Bacillaceae;Bacteriovoracaceae;Bacteroidetes.vadinHA17;Bdellovibrionaceae;Beggiatoaceae;Beijerinckiaceae;Bifidobacteriaceae;Blfdi19;Brevibacteriaceae;Burkholderiaceae;CPla.3.termite.group;Caedibacteraceae;Caldicoprobacteraceae;Caldilineaceae;Cardiobacteriaceae;Carnobacteriaceae;Catenulisporaceae;Caulobacteraceae;Cellulomonadaceae;Cellvibrionaceae;Chitinimonadaceae;Chitinophagaceae;Chlamydiaceae;Chloroflexaceae;Christensenellaceae;Chromobacteriaceae;Chthoniobacteraceae;Clostridiaceae.1;Clostridiaceae.2;Clostridiaceae.3;Clostridiales.Incertae.Sedis;Clostridiales.vadinBB60.group;Corynebacteriaceae;Coxiellaceae;Criblamydiaceae;Crocinitomicaceae;Cryptosporangiaceae;Cyclobacteriaceae;Cytophagaceae;D05.2;Deferribacteraceae;Defluviitaleaceae;Deinococcaceae;Demequinaceae;Dermabacteraceae;Desulfarculaceae;Desulfobulbaceae;Desulfovibrionaceae;Desulfuromonadaceae;Devosiaceae;Diplorickettsiaceae;Dongiaceae;Eel.36e1D6;Elsteraceae;Enterobacteriaceae;Enterococcaceae;Entotheonellaceae;Erysipelotrichaceae;Eubacteriaceae;FFCH16767;FFCH9454;Family.X;Family.XI;Family.XII;Family.XIII;Family.XVIII;Fibrobacteraceae;Fimbriimonadaceae;Flavobacteriaceae;Frankiaceae;Fusobacteriaceae;GWF2.29.10;Gaiellaceae;Gallionellaceae;Geminicoccaceae;Gemmataceae;Gemmatimonadaceae;Geobacteraceae;Geodermatophilaceae;Gracilibacteraceae;Haliangiaceae;Halieaceae;Halomonadaceae;Haloplasmataceae;Halothiobacillaceae;Heliobacteriaceae;Herpetosiphonaceae;Holophagaceae;Holosporaceae;Hydrogenophilaceae;Hymenobacteraceae;Hyphomicrobiaceae;Hyphomonadaceae;Iamiaceae;Ilumatobacteraceae;Inquilinaceae;Intrasporangiaceae;Isosphaeraceae;JG30.KF.AS9;JG30.KF.CM45;KD3.10;KD3.93;KF.JG30.B3;Kaistiaceae;Kineosporiaceae;Koribacteraceae;Ktedonobacteraceae;Labraceae;Lachnospiraceae;Lactobacillaceae;Latescibacteraceae;Legionellaceae;Lentimicrobiaceae;Leptospiraceae;Leptotrichiaceae;LiUU.11.161;Limnochordaceae;Lolium.perenne;Longimicrobiaceae;MSB.4B10;Magnetospiraceae;Magnetospirillaceae;Methylacidiphilaceae;Methylococcaceae;Methyloligellaceae;Methylophilaceae;Micavibrionaceae;Microbacteriaceae;Micrococcaceae;Micromonosporaceae;Micropepsaceae;Microscillaceae;Microtrichaceae;Midichloriaceae;Mitochondria;Moraxellaceae;Mycobacteriaceae;Myxococcaceae;NS11.12.marine.group;NS9.marine.group;Nakamurellaceae;Nannocystaceae;Neisseriaceae;Nitrosococcaceae;Nitrosomonadaceae;Nitrospiraceae;Nocardiaceae;Nocardioidaceae;Nocardiopsaceae;Oligoflexaceae;Opitutaceae;P3OB.42;Paenibacillaceae;Paludibacteraceae;Paracaedibacteraceae;Parachlamydiaceae;Parvibaculaceae;Pasteurellaceae;Pasteuriaceae;Pedosphaeraceae;Peptococcaceae;Peptostreptococcaceae;Phaselicystidaceae;Phycisphaeraceae;Pirellulaceae;Piscirickettsiaceae;Planococcaceae;Pleomorphomonadaceae;Polyangiaceae;Porphyromonadaceae;Prevotellaceae;Procabacteriaceae;Prolixibacteraceae;Promicromonosporaceae;Propionibacteriaceae;Pseudohongiellaceae;Pseudomonadaceae;Pseudonocardiaceae;Pyrinomonadaceae;Reyranellaceae;Rhizobiaceae;Rhizobiales.Incertae.Sedis;Rhodanobacteraceae;Rhodobacteraceae;Rhodocyclaceae;Rhodomicrobiaceae;Rhodopirillaceae;Rhodospirillaceae;Rhodothermaceae;Rickettsiaceae;Rikenellaceae;Roseiflexaceae;Rubrobacteriaceae;Ruminococcaceae;SC.I.84;SM2D12;SRB2;Saccharimonadaceae;Saccharum.hybrid.cultivar;Sandaracinaceae;Sanguibacteraceae;Saprospiraceae;Schlesneriaceae;Simkaniaceae;Solibacteraceae..Subgroup.3.;Solimonadaceae;Solirubrobacteraceae;Sphingobacteriaceae;Sphingomonadaceae;Spirosomaceae;Spongiibacteraceae;Sporichthyaceae;Staphylococcaceae;Steroidobacteraceae;Streptococcaceae;Streptomycetaceae;Streptosporangiaceae;Syntrophaceae;Syntrophomonadaceae;TRA3.20;Tepidisphaeraceae;Thermoactinomycetaceae;Thermoanaerobaculaceae;Thermomonosporaceae;Trueperaceae;UBA12409;UBA12411;URHD0088;Unknown.Family;VHS.B3.70;Veillonellaceae;Vermiphilaceae;Verrucomicrobiaceae;Vibrionaceae;Vulgatibacteraceae;WD2101.soil.group;Weeksellaceae;Woeseiaceae;Xanthobacteraceae;Xanthomonadaceae;Xiphinematobacteraceae;bac2nit3;bacteriap25;bacterium.Ellin6089;bacterium.enrichment.culture.clone.B30.2011.;cvE6;env.OPS.17;groundwater.metagenome;metagenome;mle1.27;possible.family.01;uncultured;uncultured.Acetobacteraceae.bacterium;uncultured.Acidimicrobiales.bacterium;uncultured.Acidimicrobidae.bacterium;uncultured.Aciditerrimonas.sp.;uncultured.Acidobacteria.bacterium;uncultured.Acidobacteriaceae.bacterium;uncultured.Acidobacteriales.bacterium;uncultured.Acidobacterium.sp.;uncultured.Acidothermaceae.bacterium;uncultured.Actinomycetales.bacterium;uncultured.Bradyrhizobiaceae.bacterium;uncultured.Candidatus.Saccharibacteria.bacterium;uncultured.Chloroflexi.bacterium;uncultured.Desulfoglaeba.sp.;uncultured.Green.Bay.ferromanganous.micronodule.bacterium.MND8;uncultured.Ignavibacterium.sp.;uncultured.Nakamurellaceae.bacterium;uncultured.Rhodospirillaceae.bacterium;uncultured.Rhodospirillales.bacterium;uncultured.Syntrophobacteraceae.bacterium;uncultured.Termite.group.1.bacterium;uncultured.Thermaerobacter.sp.;uncultured.actinobacterium;uncultured.alpha.proteobacterium;uncultured.bacterium;uncultured.bacterium..0319.6E22;uncultured.bacterium.KF.JG30.B11;uncultured.bacterium.SBR2096;uncultured.bacterium.SBRH58;uncultured.bacterium.gp7;uncultured.candidate.division.SBR1093.bacterium;uncultured.delta.proteobacterium;uncultured.gamma.proteobacterium;uncultured.organism;uncultured.prokaryote;uncultured.proteobacterium;uncultured.soil.bacterium
BactV5V7-BC64-195_S64_L001;8;0;80;0;0;0;14;0;0;0;15;0;0;0;0;0;0;0;0;9;0;0;694;133;0;0;0;0;0;42;0;34;0;0;1171;19;0;37;0;8;0;0;0;4411;0;0;0;0;0;0;0;61;0;5;0;498;0;0;0;0;0;30;0;0;0;0;25;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;43;37;223;0;0;9;101;0;0;0;0;0;0;11;0;0;0;0;0;468;0;0;0;25;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;9;0;36;0;20;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;8;16;15;0;268;0;0;291;20;0;0;37;0;0;0;13;0;26;0;4393;0;0;48;0;0;1214;0;18;13;0;0;0;27;32;26;0;0;0;0;28;0;152;0;0;33;0;0;34;0;3443;360;0;0;323;0;26;20;9;0;0;23;0;28;0;10;0;51;0;0;0;19;0;0;0;0;0;23;19;0;0;10;87;0;0;0;0;207;2;5278;0;0;0;0;0;26;0;0;0;0;0;0;151;0;0;0;0;0;0;0;200;0;111;25;0;0;0;0;0;13;11;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC65-196_S65_L001;5;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;224;0;0;0;0;0;0;0;0;0;0;1024;17;0;177;0;0;0;0;0;7269;0;0;0;0;0;0;0;867;0;150;0;579;0;0;0;0;0;34;0;0;0;0;56;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;25;67;72;0;0;102;131;0;0;0;0;0;0;0;0;0;0;0;0;8900;0;0;0;0;0;0;0;4;22;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;5;4;8;0;459;0;30;16;115;0;0;53;0;0;0;0;0;6;0;1857;0;0;0;0;0;730;0;0;0;0;15;0;0;0;10;0;27;0;0;0;8;0;0;0;19;0;0;15;0;1107;4;0;8;493;0;0;3;0;0;0;9;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;46;0;258;9;0;0;0;0;0;0;0;0;0;0;0;142;0;0;7;0;0;0;0;184;0;103;6;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC57-179_S57_L001;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;14;0;0;14;0;0;0;0;306;0;0;0;0;0;0;0;0;1554;0;0;0;0;0;0;0;69;0;0;0;79;0;0;0;0;0;575;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;56;18;36;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;3;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1655;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;20;0;0;23;0;0;140;0;0;439;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;30;8;0;0;0;0;16;0;14118;881;0;0;30;0;0;0;3885;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;6;0;0;0;0;25;0;0;0;0;0;0;466;0;0;0;0;0;0;0;25;0;0;0;0;106;0;791;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC58-180_S58_L001;10;0;52;0;0;4;24;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0;29;0;0;0;0;0;0;30;0;0;0;0;178;16;0;5;0;0;0;0;0;1195;0;0;0;0;0;0;0;333;0;136;0;340;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;46;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;1551;7;0;4;7;0;0;0;4;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;58;0;0;0;30;0;63;0;0;529;18;12;0;16;0;0;0;7;0;0;4;0;3;0;7;0;0;181;0;8;3;0;10;0;0;0;0;0;0;0;0;23;0;41;0;0;0;5;0;5;0;19341;13;0;0;211;0;48;0;11;0;0;0;0;0;0;0;0;6;9;0;0;0;0;0;0;0;0;18;0;0;0;0;24;0;0;0;0;130;25;978;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;21;13;0;0;0;0;0;0;9;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC69-200_S69_L001;0;0;76;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;46;73;0;0;0;0;0;17;0;0;0;0;156;0;0;0;0;0;0;0;0;1708;0;0;0;0;0;0;0;43;3;769;0;1086;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;2;14;0;0;0;0;0;0;0;0;0;0;3;0;123;0;0;0;0;0;0;0;0;10;0;0;355;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;137;0;54;0;0;545;4;2;0;0;0;0;0;0;0;2;0;12;0;0;3;0;0;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;5;0;18025;15;0;0;318;0;0;62;10;0;0;0;0;10;0;0;0;3;0;0;0;59;0;0;0;0;0;7;0;0;0;0;4;0;0;0;0;20;0;2337;0;0;0;5;0;0;0;0;0;0;0;0;19;0;3;0;0;0;0;0;65;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC70-201_S70_L001;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;316;198;0;0;0;4;0;0;0;4642;0;2;0;0;0;0;0;1448;0;0;0;797;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;684;9;587;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;4990;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;361;37;0;0;0;0;0;0;0;0;0;0;15;0;0;6;0;0;300;0;4;4;0;0;0;0;0;0;0;0;0;26;0;0;39;0;0;0;0;0;0;0;11321;33;0;0;217;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;192;0;240;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;33;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC73-205_S73_L001;0;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;32;0;0;0;0;0;0;0;6;0;0;161;0;0;0;0;0;0;0;0;615;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;3;10;0;0;0;0;0;46;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;12;0;54;0;0;623;0;0;0;0;0;0;0;10;0;4;0;21;0;0;0;0;0;113;0;0;0;0;4;0;5;0;3;0;0;0;0;11;0;2;0;0;5;0;0;12;0;24075;0;0;0;122;0;0;0;0;0;0;0;9;0;0;0;0;2;0;0;0;12;0;0;0;0;0;11;0;0;0;0;21;0;0;0;25;0;11;539;0;0;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC338-193_S338_L001;501;0;104;0;0;4;178;4;77;0;0;0;4;6;0;16;0;0;5;0;0;0;23;82;61;0;47;0;0;271;0;47;0;0;460;64;0;138;0;110;0;2;0;6376;0;0;0;0;0;0;0;977;17;141;0;24;0;0;67;0;12;32;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;50;69;15;16;502;0;138;0;0;0;0;19;0;0;0;0;0;0;0;0;0;114;37;1644;6;0;14;356;0;32;0;455;272;59;0;54;0;0;0;0;0;11;0;0;0;285;67;38;18;94;0;109;0;0;0;0;15;15;0;4;24;0;0;51;0;0;0;0;8;0;0;0;0;12;0;0;942;0;0;159;116;0;103;503;161;48;116;0;0;0;13;216;41;18;0;24;7;0;0;430;129;8;287;0;17;0;21;229;8;3;4;0;0;0;353;0;4;0;44;0;0;26;0;263;0;0;0;102;0;19;23;583;46;0;74;794;68;65;33;1392;0;0;8;0;0;0;126;7;61;743;0;0;4;0;0;0;4;0;0;158;11;56;0;1481;0;0;12;0;162;0;232;7;0;0;61;0;0;28;30;0;0;0;0;78;0;0;0;0;0;23;0;6;0;769;259;0;0;31;0;0;2;85;0;14;0;0;362;7;0;0;0;19;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;4;0;0;0;0;8
BactV5V7-BC78-218_S78_L001;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;27;5;0;0;0;0;0;0;0;0;0;805;8;0;3;0;0;0;0;0;4057;0;0;0;0;0;0;0;124;0;127;0;805;0;0;0;0;0;270;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;4;73;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;598;0;0;0;0;0;0;0;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;27;7;187;0;0;706;31;0;46;0;0;0;0;7;0;5;0;0;6;0;9;0;0;918;0;0;4;0;0;0;6;0;11;0;0;0;0;7;0;69;0;0;0;0;0;0;0;15341;208;0;0;442;0;0;0;0;0;0;0;0;9;0;0;0;43;0;0;0;45;3;0;0;0;0;14;5;0;0;0;0;0;0;0;0;107;0;1522;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;72;0;20;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC355-226_S355_L001;927;0;83;0;0;0;448;0;170;0;0;0;9;0;7;0;23;5;10;0;0;0;64;0;103;0;0;0;0;40;21;37;0;0;611;78;0;31;0;129;0;0;4;4387;0;0;0;0;0;0;0;392;0;9;0;309;0;0;0;0;7;55;0;0;3;0;0;0;0;10;0;0;15;0;0;0;3;0;0;141;0;0;0;90;0;145;0;0;0;0;65;0;0;0;0;0;5;0;0;5;23;51;498;14;0;0;730;0;79;0;1067;60;75;10;78;0;0;0;0;0;0;0;0;0;451;167;11;21;150;0;169;0;4;3;0;0;23;0;0;4;0;0;10;0;0;0;0;0;0;0;0;0;21;0;0;42;0;0;354;184;0;28;794;175;32;129;0;0;0;3;297;0;0;0;36;0;0;0;1198;375;7;420;0;10;0;20;745;0;6;20;0;0;0;791;0;14;29;38;0;0;8;0;29;0;0;0;0;0;95;0;807;57;23;140;250;101;14;13;31;0;0;16;0;0;0;198;31;5;1250;0;0;0;0;11;0;8;0;0;384;18;50;0;1787;4;0;20;0;297;0;216;15;0;0;174;0;6;64;16;0;0;0;0;94;0;0;8;0;0;18;0;45;0;1208;202;2;0;135;2;8;0;118;0;23;0;0;1077;3;0;31;0;0;0;19;0;0;0;0;0;2;0;0;0;0;20;5;0;0;0;0;0;203;12;5;0;0;0;0;11;0;0;0;0;7
BactV5V7-BC71-202_S71_L001;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;257;78;0;0;0;0;0;0;0;2295;0;0;0;0;0;0;0;130;0;0;0;359;0;0;0;0;0;644;0;0;0;0;28;4;0;0;0;13;4;0;0;0;0;0;0;0;0;0;0;14;9;30;0;0;25;44;0;0;0;0;0;0;0;0;0;0;4;0;558;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;331;0;168;0;0;617;9;0;0;19;0;0;0;0;0;4;0;14;0;0;14;0;0;470;0;16;0;0;0;0;3;0;7;0;0;0;0;0;0;46;0;0;0;0;0;6;0;19246;17;0;0;39;0;0;0;6;0;0;0;0;3;0;0;0;0;0;0;0;12;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;72;0;1160;0;0;0;0;0;0;4;38;0;0;0;0;96;0;50;0;0;0;0;0;81;0;19;63;0;0;0;0;0;0;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC30-73_S30_L001;12;0;29;0;0;0;9;0;0;0;0;0;0;122;0;0;0;0;0;0;21;0;143;0;0;0;0;0;0;0;0;0;0;15;1169;47;0;7;0;71;0;0;0;1664;0;0;0;0;0;0;0;175;0;0;0;1261;0;0;0;0;0;112;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;8;68;11;0;0;146;84;0;0;0;0;0;0;17;0;0;0;0;0;159;0;0;0;0;0;0;0;12;80;35;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;28;22;0;0;0;0;0;0;0;0;0;0;0;3;0;0;12;23;0;16;41;8;0;41;0;0;271;8;17;0;0;0;8;0;26;0;7;8;0;81;0;32;0;0;1270;0;11;16;0;0;0;14;0;0;5;0;0;0;24;0;6;0;0;0;0;0;38;0;2547;119;0;0;77;13;21;14;11;0;0;0;0;5;0;0;0;52;0;0;0;7;0;0;0;0;0;11;7;6;0;0;163;6;0;0;0;30;38;16193;25;0;0;0;0;14;0;0;0;0;0;0;50;0;0;9;0;0;0;0;99;0;102;39;0;0;0;0;0;0;5;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC337-192_S337_L001;336;0;85;0;0;0;148;0;90;0;0;0;0;2;0;0;9;0;9;0;0;0;21;53;74;0;98;0;0;286;0;245;0;0;206;113;0;165;0;64;0;4;0;6794;0;5;0;0;0;0;0;1165;0;141;0;640;0;0;24;0;18;42;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;106;43;54;30;321;0;207;0;0;0;0;16;0;0;0;0;0;0;0;23;0;298;73;1093;7;0;0;241;27;0;0;719;562;30;23;97;0;0;0;0;0;0;2;2;0;197;49;9;0;61;0;60;0;0;0;0;0;0;0;0;54;0;0;129;0;0;0;22;0;0;0;0;0;27;0;0;349;0;0;88;60;0;35;604;61;99;383;0;0;0;102;132;0;38;0;24;19;9;0;450;152;0;214;0;0;0;24;192;46;15;0;0;0;0;569;0;0;24;58;0;0;0;0;193;0;0;0;216;0;36;0;829;12;0;53;654;34;91;8;963;0;0;24;0;0;0;129;0;138;709;2;0;52;0;0;0;24;0;31;212;0;6;22;1468;37;0;16;0;247;0;177;0;0;0;75;0;0;0;61;0;0;0;0;136;0;11;0;0;0;0;0;29;0;562;386;0;0;26;0;5;0;112;0;22;2;0;422;0;0;0;0;0;0;17;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;13
BactV5V7-BC56-178_S56_L001;609;0;51;0;0;0;521;0;56;0;0;0;0;4;0;26;2;0;5;0;0;0;317;4;131;0;71;3;0;100;0;8;0;0;684;103;0;161;0;107;0;5;0;2345;0;0;2;0;0;0;0;322;25;33;0;408;0;0;21;5;0;245;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;45;17;12;0;97;2;93;0;0;18;0;28;0;0;0;0;0;0;0;23;0;11;6;414;10;0;0;760;0;30;0;363;178;62;32;47;0;0;0;0;0;0;0;0;0;123;65;0;30;159;0;214;0;0;0;0;0;0;0;0;9;0;0;144;0;0;0;14;0;0;0;0;0;8;0;0;92;0;0;389;106;0;153;735;99;15;56;0;0;315;0;393;0;0;0;49;0;11;0;298;134;21;637;0;0;0;0;287;15;0;16;0;0;0;152;48;25;33;0;2;0;0;0;39;0;0;0;52;0;86;5;7918;89;0;44;336;64;13;7;317;0;0;0;0;0;0;68;0;176;430;2;0;0;0;0;0;5;0;0;99;32;169;0;521;31;0;31;0;176;0;1011;21;0;0;0;0;0;34;0;0;0;0;0;220;0;21;0;0;0;10;0;5;7;869;234;0;0;44;0;5;0;41;0;15;2;0;813;0;0;0;0;0;0;19;0;6;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;67;0;0;2;0;0;0;4;0;0;0;0;0
BactV5V7-BC340-204_S340_L001;165;0;72;0;0;0;168;8;46;0;3;0;6;6;0;4;15;0;0;0;0;0;17;215;30;0;185;0;0;624;0;260;0;0;219;69;0;105;0;106;0;0;0;6220;0;0;0;0;0;0;0;1063;0;213;0;492;0;0;27;0;5;33;0;0;0;0;0;0;0;13;0;0;5;0;0;0;0;0;0;40;126;93;57;340;5;246;0;0;0;0;0;0;0;0;0;0;0;0;26;0;203;46;1466;0;0;13;165;0;0;0;346;784;30;20;39;5;0;0;0;0;0;0;0;0;241;40;19;0;27;0;81;0;0;0;0;29;6;0;0;31;0;3;270;0;0;0;0;0;0;0;0;0;0;0;0;1174;0;0;83;67;0;27;424;73;93;215;0;0;0;52;119;0;14;0;19;3;5;0;237;110;0;209;0;19;0;25;145;58;9;3;0;0;0;298;22;0;0;12;2;0;0;49;218;0;0;0;264;0;19;0;473;23;0;57;793;15;0;53;3063;0;0;18;0;0;8;96;6;373;398;3;5;20;0;0;0;41;0;0;88;16;0;13;1142;56;2;0;0;129;0;137;7;0;0;26;0;0;15;36;0;0;0;0;113;0;0;0;0;0;0;0;19;0;508;306;0;0;12;0;0;3;145;0;12;0;0;325;0;0;0;0;17;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0
