V1;X11.24;X211ds20;Acetobacterales;Acidiferrobacterales;Acidimicrobiales;Acidobacteriales;Actinomarinales;Actinomycetales;Aeromonadales;Alteromonadales;Ambiguous_taxa;Ardenticatenales;Armatimonadales;Azospirillales;BD72BR169;Babeliales;Bacillales;Bacteroidales;Bacteroidetes.VC2.1.Bac22;Bdellovibrionales;Beggiatoales;Betaproteobacteriales;Bifidobacteriales;C0119;CCD24;CCM11a;Caedibacterales;Caldilineales;Candidatus.Adlerbacteria;Candidatus.Kaiserbacteria;Cardiobacteriales;Catenulisporales;Caulobacterales;Cellvibrionales;Chitinophagales;Chlamydiales;Chloroflexales;Chloroflexi.bacterium.JEA33;Chloroplast;Chthoniobacterales;Clostridiales;Coriobacteriales;Corynebacteriales;Coxiellales;Cyanobacteria.Melainabacteria.group.bacterium.S15B.MN24.CBMW_12;Cytophagales;Dadabacteriales;Deferribacterales;Deinococcales;Desulfarculales;Desulfobacterales;Desulfovibrionales;Desulfuromonadales;Diplorickettsiales;Dongiales;EC3;Elev.16S.976;Elsterales;Enterobacteriales;Entotheonellales;Erysipelotrichales;F9P41300.M23;Fibrobacterales;Fimbriimonadales;Flavobacteriales;Frankiales;Fusobacteriales;Ga0077536;Gaiellales;Gammaproteobacteria.Incertae.Sedis;Gemmatales;Gemmatimonadales;Haloplasmatales;Halothiobacillales;Holophagales;Holosporales;IMCC26256;Ignavibacteriales;Isosphaerales;JG36.TzT.191;KI89A.clade;Kallotenuales;Kineosporiales;Kryptoniales;Ktedonobacterales;Lactobacillales;Latescibacterales;Legionellales;Leptospirales;Limnochordales;Lineage.IV;Longimicrobiales;MBA03;MBNT15;MVP.88;Methylacidiphilales;Methylococcales;Micavibrionales;Micrococcales;Micromonosporales;Micropepsales;Microtrichales;Myxococcales;NB1.j;Nitrosococcales;Nitrospirales;OPB41;OPB56;Oceanospirillales;Oligoflexales;Opitutales;PB19;PLTA13;Paracaedibacterales;Parvibaculales;Pasteurellales;PeM15;Pedosphaerales;Phycisphaerales;Pirellulales;Piscirickettsiales;Planctomycetales;Propionibacteriales;Pseudomonadales;Pseudonocardiales;Puniceispirillales;Pyrinomonadales;R7C24;RCP2.54;Reyranellales;Rhizobiales;Rhodobacterales;Rhodospirillales;Rhodothermales;Rickettsiales;Rokubacteriales;Rubrobacterales;S085;SAR202.clade;SAR324.clade.Marine.group.B.;SBR1031;SJA.15;SJA.28;SM1A07;Saccharimonadales;Salinisphaerales;Selenomonadales;Solibacterales;Solirubrobacterales;Sphingobacteriales;Sphingomonadales;Steroidobacterales;Streptomycetales;Streptosporangiales;Subgroup.12;Subgroup.2;Subgroup.7;Syntrophobacterales;TX1A.33;Tepidisphaerales;Thermoanaerobacterales;Thermoanaerobaculales;Thermomicrobiales;Tistrellales;Verrucomicrobiales;Vibrionales;Xanthomonadales;bacterium.LWH54;metagenome;planctomycete.A.2;uncultured;uncultured.Acidobacteria.bacterium;uncultured.Acidobacteriales.bacterium;uncultured.Actinomycetales.bacterium;uncultured.Anaerolineales.bacterium;uncultured.Antarctic.bacterium.LB3.13;uncultured.Armatimonadetes.bacterium;uncultured.Bellilinea.sp.;uncultured.Caldilineae.bacterium;uncultured.Catenuloplanes.sp.;uncultured.Chloroflexi.bacterium;uncultured.Clostridium.sp.;uncultured.Dehalococcoidia.bacterium;uncultured.Dehalogenimonas.sp.;uncultured.Elusimicrobia.bacterium;uncultured.Gemmatimonadales.bacterium;uncultured.Gemmatimonadetes.bacterium;uncultured.Halanaerobiaceae.bacterium;uncultured.Holophaga.sp.;uncultured.Micromonospora.sp.;uncultured.Nocardioidaceae.bacterium;uncultured.Planctomycetaceae.bacterium;uncultured.Planctomycetales.bacterium;uncultured.Streptomyces.sp.;uncultured.Termite.group.1.bacterium;uncultured.Truepera.sp.;uncultured.actinobacterium;uncultured.alpha.proteobacterium;uncultured.bacterium;uncultured.bacterium..0319.7F19;uncultured.bacterium..0425.2M17;uncultured.bacterium.17F9;uncultured.bacterium.246;uncultured.cyanobacterium;uncultured.microorganism;uncultured.prokaryote;uncultured.proteobacterium;uncultured.soil.bacterium
BactV5V7-BC65-196_S65_L001;5;0;0;0;0;0;0;0;0;0;224;0;0;0;0;0;38;1880;0;0;194;0;7294;0;0;0;0;0;0;0;0;0;0;867;150;584;0;0;0;9;0;58;0;1913;0;0;459;0;0;0;0;0;0;22;67;72;0;0;0;102;0;0;0;0;0;9089;0;0;0;2;142;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;0;0;0;0;0;0;0;0;0;9;8;0;0;18;0;0;0;0;0;0;82;0;0;0;0;0;15;0;0;27;0;0;0;15;1222;4;0;0;0;0;8;629;3;12;0;57;0;0;0;0;0;0;0;0;0;13;0;0;0;0;53;23;46;258;9;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC64-195_S64_L001;0;0;15;0;0;0;0;0;9;0;133;0;0;0;42;0;3;3133;0;0;56;0;4508;0;0;0;0;0;0;0;0;0;0;81;5;498;152;10;0;0;0;273;0;4418;6;0;304;0;0;0;0;0;0;96;37;223;0;0;0;9;0;0;0;0;0;668;0;0;0;25;151;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;24;15;0;5;186;0;0;0;0;0;0;128;0;0;5;18;0;0;0;27;0;0;0;0;34;3463;360;0;0;0;0;0;485;20;42;0;334;0;0;0;0;0;0;0;0;0;39;0;0;19;14;58;87;207;5278;0;0;14;0;0;0;0;0;0;0;0;0;0;51;0;8;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC58-180_S58_L001;0;0;0;0;0;0;0;0;0;0;0;3;0;0;30;0;0;411;5;0;21;0;1285;0;0;0;0;0;0;0;0;0;0;333;136;344;21;0;0;0;0;50;0;12;0;0;63;0;0;0;0;0;0;19;0;46;0;0;0;2;4;0;0;0;0;1551;10;0;0;7;80;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;5;0;30;0;0;41;0;0;4;0;0;0;59;0;0;0;8;0;10;0;0;0;0;0;0;8;19359;13;0;0;0;0;0;280;0;0;0;529;0;0;0;0;0;0;0;0;0;0;0;0;0;24;29;24;130;978;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC57-179_S57_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;16;567;8;0;0;0;5467;0;0;0;0;0;0;0;0;0;0;69;0;79;75;0;0;0;0;2243;0;13;0;0;140;0;0;0;0;0;0;71;18;36;0;0;0;47;0;0;0;0;0;102;0;0;0;3;106;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;44;0;0;0;0;0;0;19;0;0;0;7;0;0;0;0;0;0;0;0;16;14128;881;0;0;0;0;0;125;0;10;0;439;0;0;0;0;0;0;0;0;0;0;0;791;0;0;0;25;0;466;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC69-200_S69_L001;0;0;0;5;0;0;0;0;0;0;73;0;0;0;17;0;0;462;0;0;0;0;1738;0;0;0;0;0;0;0;0;0;0;50;771;1086;7;0;0;0;0;3;0;24;0;0;54;0;0;0;0;0;0;10;0;28;0;0;0;2;0;0;0;3;0;188;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;3;137;0;0;355;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;5;18029;15;0;0;0;0;0;325;62;6;0;555;0;0;0;0;0;0;0;0;0;59;0;3;0;0;0;4;20;2337;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC70-201_S70_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;654;0;0;198;0;4642;0;0;0;0;2;0;0;0;0;0;1448;0;797;16;0;0;0;0;13;0;23;0;0;32;0;0;0;0;0;0;0;9;587;0;0;0;0;0;0;0;0;0;5023;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;0;26;0;0;11358;33;0;0;0;0;0;973;0;0;0;361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC73-205_S73_L001;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;36;419;0;0;0;0;641;0;0;0;0;0;0;0;0;0;0;38;0;0;11;0;0;0;0;15;0;21;0;0;58;0;0;0;0;0;0;49;0;11;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;8;0;0;0;0;2;0;3;0;0;0;0;0;4;0;5;0;0;0;0;12;24075;0;0;0;0;0;0;122;0;7;9;623;0;0;0;0;0;0;0;0;0;12;0;0;0;5;0;21;0;539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC78-218_S78_L001;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;36;1878;0;0;11;0;4069;0;0;0;0;0;0;0;0;0;0;124;127;805;18;0;0;0;0;334;0;37;0;0;187;0;0;0;0;0;0;11;4;73;0;0;0;0;0;0;0;0;0;670;0;0;0;0;86;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;3;27;7;0;115;0;0;0;0;0;0;43;0;0;0;0;0;0;0;6;0;0;0;0;6;15372;208;0;0;0;0;0;511;0;0;0;715;0;0;0;0;6;0;0;0;0;53;0;0;5;0;0;0;107;1522;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC30-73_S30_L001;0;0;0;122;0;0;0;0;0;0;0;5;0;0;0;0;24;2620;0;0;54;0;1731;0;0;0;0;0;0;0;0;0;0;175;0;1261;27;0;0;0;0;221;0;116;0;0;47;0;0;0;10;0;0;80;68;11;0;0;0;146;0;0;0;0;0;258;58;0;0;4;50;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0;98;8;0;0;11;0;0;8;0;0;0;61;0;0;0;11;0;0;0;14;0;0;0;0;119;2555;119;0;0;0;0;0;283;14;3;0;276;0;0;0;0;0;0;0;0;0;7;6;0;7;9;5;163;30;16193;25;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;14;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC71-202_S71_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;794;0;0;78;0;2305;0;0;0;0;0;0;0;0;0;0;130;0;359;63;0;0;0;0;651;0;42;4;0;185;0;0;0;0;0;0;23;9;30;0;0;0;25;0;0;0;4;0;639;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;331;0;0;49;0;0;0;0;0;0;74;0;0;0;16;0;0;0;3;0;0;0;0;6;19255;17;0;0;0;0;0;72;0;0;0;620;0;0;0;0;0;0;0;0;0;20;0;50;0;0;26;0;72;1160;38;0;0;0;0;0;0;0;4;0;0;0;0;63;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
