Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
35;BactV5V7-BC237-94_S237_L001;Bact_S94;94;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.16872892902115;0.339095976275364
36;BactV5V7-BC238-86_S238_L001;Bact_S86;86;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.3036704798569;0.339095976275364
37;BactV5V7-BC239-96_S239_L001;Bact_S96;96;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.34318373270131;0.339095976275364
38;BactV5V7-BC24-57_S24_L001;Bact_S57;57;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.11183585452181;0.35593807492842
39;BactV5V7-BC25-58_S25_L001;Bact_S58;58;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.33224441320328;0.35593807492842
40;BactV5V7-BC251-111_S251_L001;Bact_S111;111;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.42008158144011;0.339095976275364
41;BactV5V7-BC252-112_S252_L001;Bact_S112;112;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.27533188298743;0.339095976275364
42;BactV5V7-BC26-59_S26_L001;Bact_S59;59;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;0.901307021422142;0.35593807492842
43;BactV5V7-BC27-67_S27_L001;Bact_S67;67;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.1414658163524;0.35593807492842
44;BactV5V7-BC28-68_S28_L001;Bact_S68;68;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.17762792125401;0.35593807492842
45;BactV5V7-BC29-70_S29_L001;Bact_S70;70;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.0992757858088;0.35593807492842
46;BactV5V7-BC30-73_S30_L001;Bact_S73;73;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.0708399679832;0.35593807492842
47;BactV5V7-BC31-74_S31_L001;Bact_S74;74;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.22297656053253;0.35593807492842
48;BactV5V7-BC32-81_S32_L001;Bact_S81;81;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;0.90278502893568;0.35593807492842
49;BactV5V7-BC33-89_S33_L001;Bact_S89;89;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;0.964835149024835;0.35593807492842
50;BactV5V7-BC331-186_S331_L001;Bact_S186;186;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.40467198750894;0.869603200016955
51;BactV5V7-BC332-187_S332_L001;Bact_S187;187;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.4379428397707;0.869603200016955
52;BactV5V7-BC333-188_S333_L001;Bact_S188;188;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.3452860932959;0.0917615760105841
53;BactV5V7-BC334-189_S334_L001;Bact_S189;189;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.42720211778679;0.0917615760105841
54;BactV5V7-BC335-190_S335_L001;Bact_S190;190;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.42934572947604;0.0917615760105841
55;BactV5V7-BC336-191_S336_L001;Bact_S191;191;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.10919751988957;0.0917615760105841
56;BactV5V7-BC337-192_S337_L001;Bact_S192;192;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.28901520579645;0.0917615760105841
57;BactV5V7-BC338-193_S338_L001;Bact_S193;193;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.20263828716282;0.0917615760105841
58;BactV5V7-BC339-194_S339_L001;Bact_S194;194;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.54641606723302;0.869603200016955
59;BactV5V7-BC340-204_S340_L001;Bact_S204;204;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.09937488124251;0.0917615760105841
