Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
31;BactV5V7-BC233-90_S233_L001;Bact_S90;90;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.90326103556664;0.139573289378358
32;BactV5V7-BC234-91_S234_L001;Bact_S91;91;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.92959815426718;0.139573289378358
33;BactV5V7-BC235-92_S235_L001;Bact_S92;92;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.97652598479274;0.139573289378358
34;BactV5V7-BC236-93_S236_L001;Bact_S93;93;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.77084837660375;0.139573289378358
35;BactV5V7-BC237-94_S237_L001;Bact_S94;94;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.73956658192983;0.139573289378358
36;BactV5V7-BC238-86_S238_L001;Bact_S86;86;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.81077452047988;0.139573289378358
37;BactV5V7-BC239-96_S239_L001;Bact_S96;96;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.88615708927612;0.139573289378358
38;BactV5V7-BC24-57_S24_L001;Bact_S57;57;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.62139442886845;0.2102701659142
39;BactV5V7-BC25-58_S25_L001;Bact_S58;58;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.51244227767921;0.2102701659142
40;BactV5V7-BC251-111_S251_L001;Bact_S111;111;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;3.03418798676475;0.139573289378358
41;BactV5V7-BC252-112_S252_L001;Bact_S112;112;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.78376966161928;0.139573289378358
42;BactV5V7-BC26-59_S26_L001;Bact_S59;59;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.91988045124861;0.2102701659142
43;BactV5V7-BC27-67_S27_L001;Bact_S67;67;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.72440524035283;0.2102701659142
44;BactV5V7-BC28-68_S28_L001;Bact_S68;68;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.07925552880218;0.2102701659142
45;BactV5V7-BC29-70_S29_L001;Bact_S70;70;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.56881911579569;0.2102701659142
46;BactV5V7-BC30-73_S30_L001;Bact_S73;73;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.66765542094479;0.2102701659142
47;BactV5V7-BC31-74_S31_L001;Bact_S74;74;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.1204964128174;0.2102701659142
48;BactV5V7-BC32-81_S32_L001;Bact_S81;81;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.85248708437533;0.2102701659142
49;BactV5V7-BC33-89_S33_L001;Bact_S89;89;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.86097536745193;0.2102701659142
50;BactV5V7-BC331-186_S331_L001;Bact_S186;186;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.26059351602933;0.0278226594647059
51;BactV5V7-BC332-187_S332_L001;Bact_S187;187;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.09248668399285;0.0278226594647059
52;BactV5V7-BC333-188_S333_L001;Bact_S188;188;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.0794205780444;0.0817588856311027
53;BactV5V7-BC334-189_S334_L001;Bact_S189;189;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.18909909095673;0.0817588856311027
54;BactV5V7-BC335-190_S335_L001;Bact_S190;190;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.25714083333008;0.0817588856311027
55;BactV5V7-BC336-191_S336_L001;Bact_S191;191;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.92848993913446;0.0817588856311027
56;BactV5V7-BC337-192_S337_L001;Bact_S192;192;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.05588437232466;0.0817588856311027
57;BactV5V7-BC338-193_S338_L001;Bact_S193;193;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.93851960209114;0.0817588856311027
58;BactV5V7-BC339-194_S339_L001;Bact_S194;194;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.23168865598002;0.0278226594647059
59;BactV5V7-BC340-204_S340_L001;Bact_S204;204;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.89918140582968;0.0817588856311027
60;BactV5V7-BC341-206_S341_L001;Bact_S206;206;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.44069312760677;0.0817588856311027
61;BactV5V7-BC342-207_S342_L001;Bact_S207;207;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.09730959524612;0.0278226594647059
62;BactV5V7-BC343-208_S343_L001;Bact_S208;208;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.28856839748399;0.0817588856311027
63;BactV5V7-BC344-212_S344_L001;Bact_S212;212;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.1270731611217;0.0817588856311027
64;BactV5V7-BC345-213_S345_L001;Bact_S213;213;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.92304219522326;0.0817588856311027
65;BactV5V7-BC346-214_S346_L001;Bact_S214;214;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.0528943006333;0.0817588856311027
66;BactV5V7-BC348-216_S348_L001;Bact_S216;216;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.02470823665187;0.0817588856311027
67;BactV5V7-BC349-220_S349_L001;Bact_S220;220;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.14065022999291;0.0817588856311027
68;BactV5V7-BC350-221_S350_L001;Bact_S221;221;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.14691776687447;0.0278226594647059
