Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
35;BactV5V7-BC237-94_S237_L001;Bact_S94;94;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.90275884092273;0.310635456337401
36;BactV5V7-BC238-86_S238_L001;Bact_S86;86;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.06942340084908;0.310635456337401
37;BactV5V7-BC239-96_S239_L001;Bact_S96;96;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.11697855210867;0.310635456337401
38;BactV5V7-BC24-57_S24_L001;Bact_S57;57;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.31240662574358;0.644392343645044
39;BactV5V7-BC25-58_S25_L001;Bact_S58;58;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.68235813579581;0.644392343645044
40;BactV5V7-BC251-111_S251_L001;Bact_S111;111;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.27128885557899;0.310635456337401
41;BactV5V7-BC252-112_S252_L001;Bact_S112;112;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.04370626287434;0.310635456337401
42;BactV5V7-BC26-59_S26_L001;Bact_S59;59;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.2526753159745;0.644392343645044
43;BactV5V7-BC27-67_S27_L001;Bact_S67;67;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.3166077145251;0.644392343645044
44;BactV5V7-BC28-68_S28_L001;Bact_S68;68;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.42565979729696;0.644392343645044
45;BactV5V7-BC29-70_S29_L001;Bact_S70;70;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.15050707532682;0.644392343645044
46;BactV5V7-BC30-73_S30_L001;Bact_S73;73;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.24035434117883;0.644392343645044
47;BactV5V7-BC31-74_S31_L001;Bact_S74;74;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.5231467942998;0.644392343645044
48;BactV5V7-BC32-81_S32_L001;Bact_S81;81;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.34833348228413;0.644392343645044
49;BactV5V7-BC33-89_S33_L001;Bact_S89;89;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.48037814609757;0.644392343645044
50;BactV5V7-BC331-186_S331_L001;Bact_S186;186;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.27460588538843;0.869603200016955
51;BactV5V7-BC332-187_S332_L001;Bact_S187;187;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.36032164920928;0.869603200016955
52;BactV5V7-BC333-188_S333_L001;Bact_S188;188;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.15697101683065;0.102724811688853
53;BactV5V7-BC334-189_S334_L001;Bact_S189;189;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.32257279090419;0.102724811688853
54;BactV5V7-BC335-190_S335_L001;Bact_S190;190;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.25442023381419;0.102724811688853
55;BactV5V7-BC336-191_S336_L001;Bact_S191;191;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.93053885248691;0.102724811688853
56;BactV5V7-BC337-192_S337_L001;Bact_S192;192;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.08516499020178;0.102724811688853
57;BactV5V7-BC338-193_S338_L001;Bact_S193;193;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.01025737642722;0.102724811688853
58;BactV5V7-BC339-194_S339_L001;Bact_S194;194;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.40604187409983;0.869603200016955
59;BactV5V7-BC340-204_S340_L001;Bact_S204;204;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.8981482857976;0.102724811688853
60;BactV5V7-BC341-206_S341_L001;Bact_S206;206;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.48346276297624;0.102724811688853
61;BactV5V7-BC342-207_S342_L001;Bact_S207;207;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.24158394898238;0.869603200016955
62;BactV5V7-BC343-208_S343_L001;Bact_S208;208;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.33680253123175;0.102724811688853
63;BactV5V7-BC344-212_S344_L001;Bact_S212;212;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.11077542888927;0.102724811688853
64;BactV5V7-BC345-213_S345_L001;Bact_S213;213;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.96126805938625;0.102724811688853
65;BactV5V7-BC346-214_S346_L001;Bact_S214;214;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.11089038810853;0.102724811688853
66;BactV5V7-BC348-216_S348_L001;Bact_S216;216;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.08027683584784;0.102724811688853
67;BactV5V7-BC349-220_S349_L001;Bact_S220;220;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.12865161061742;0.102724811688853
68;BactV5V7-BC350-221_S350_L001;Bact_S221;221;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.14587817261982;0.869603200016955
69;BactV5V7-BC351-222_S351_L001;Bact_S222;222;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.11091396905701;0.102724811688853
70;BactV5V7-BC352-223_S352_L001;Bact_S223;223;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.42905147892734;0.869603200016955
71;BactV5V7-BC353-224_S353_L001;Bact_S224;224;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.30126546959234;0.869603200016955
72;BactV5V7-BC354-225_S354_L001;Bact_S225;225;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.16847518306536;0.102724811688853
73;BactV5V7-BC355-226_S355_L001;Bact_S226;226;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.3863922894816;0.869603200016955
74;BactV5V7-BC356-227_S356_L001;Bact_S227;227;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.39153407685834;0.869603200016955
75;BactV5V7-BC357-228_S357_L001;Bact_S228;228;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.48305800529045;0.869603200016955
76;BactV5V7-BC358-229_S358_L001;Bact_S229;229;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.33487797838483;0.869603200016955
77;BactV5V7-BC359-230_S359_L001;Bact_S230;230;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.31414193373414;0.869603200016955
78;BactV5V7-BC360-231_S360_L001;Bact_S231;231;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.17297988901243;0.102724811688853
79;BactV5V7-BC361-232_S361_L001;Bact_S232;232;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.15137074903791;0.102724811688853
80;BactV5V7-BC362-233_S362_L001;Bact_S233;233;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.39693202809956;0.869603200016955
81;BactV5V7-BC363-234_S363_L001;Bact_S234;234;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.10620662354865;0.102724811688853
82;BactV5V7-BC364-235_S364_L001;Bact_S235;235;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.28270109969692;0.869603200016955
83;BactV5V7-BC365-236_S365_L001;Bact_S236;236;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.44975270913613;0.869603200016955
84;BactV5V7-BC366-237_S366_L001;Bact_S237;237;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.40665717251055;0.869603200016955
85;BactV5V7-BC367-238_S367_L001;Bact_S238;238;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.2154881702346;0.869603200016955
86;BactV5V7-BC368-239_S368_L001;Bact_S239;239;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.26429361484212;0.869603200016955
