Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
32;FunITS-BC144-85_S144_L001;Fun_S85;85;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.61762827837708;0.0772174015717727
33;FunITS-BC145-94_S145_L001;Fun_S94;94;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.30765436825703;0.0772174015717727
34;FunITS-BC146-95_S146_L001;Fun_S95;95;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.64099235959307;0.0772174015717727
35;FunITS-BC147-96_S147_L001;Fun_S96;96;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.56370455545911;0.0772174015717727
36;FunITS-BC153-86_S153_L001;Fun_S86;86;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.36324021482389;0.0772174015717727
37;FunITS-BC154-87_S154_L001;Fun_S87;87;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.24050286933686;0.0772174015717727
38;FunITS-BC155-88_S155_L001;Fun_S88;88;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.38925384973572;0.0772174015717727
39;FunITS-BC156-89_S156_L001;Fun_S89;89;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.40842784067538;0.13332693177435
40;FunITS-BC157-90_S157_L001;Fun_S90;90;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.69923658980708;0.0772174015717727
41;FunITS-BC158-91_S158_L001;Fun_S91;91;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.49389188422908;0.0772174015717727
42;FunITS-BC159-92_S159_L001;Fun_S92;92;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.66169187387527;0.0772174015717727
43;FunITS-BC160-93_S160_L001;Fun_S93;93;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;0.969893556629235;0.0772174015717727
