Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
32;FunITS-BC144-85_S144_L001;Fun_S85;85;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.52116678267439;0.0597088054740608
33;FunITS-BC145-94_S145_L001;Fun_S94;94;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.2069533996127;0.0597088054740608
34;FunITS-BC146-95_S146_L001;Fun_S95;95;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.50290830529143;0.0597088054740608
35;FunITS-BC147-96_S147_L001;Fun_S96;96;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.39596744095315;0.0597088054740608
36;FunITS-BC153-86_S153_L001;Fun_S86;86;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.278114700368;0.0597088054740608
37;FunITS-BC154-87_S154_L001;Fun_S87;87;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.02974837861303;0.0597088054740608
38;FunITS-BC155-88_S155_L001;Fun_S88;88;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.33548238810414;0.0597088054740608
39;FunITS-BC156-89_S156_L001;Fun_S89;89;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;0.994416550462623;0.16585666034291
40;FunITS-BC157-90_S157_L001;Fun_S90;90;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.58052870040419;0.0597088054740608
41;FunITS-BC158-91_S158_L001;Fun_S91;91;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.39048195149795;0.0597088054740608
42;FunITS-BC159-92_S159_L001;Fun_S92;92;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.55358283134953;0.0597088054740608
43;FunITS-BC160-93_S160_L001;Fun_S93;93;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;0.908509962268962;0.0597088054740608
44;FunITS-BC19-178_S19_L001;Fun_S178;178;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.34800611828381;0.862490230135919
45;FunITS-BC20-179_S20_L001;Fun_S179;179;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.02317112183878;0.862490230135919
46;FunITS-BC21-180_S21_L001;Fun_S180;180;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;0.86420964329996;0.862490230135919
47;FunITS-BC22-181_S22_L001;Fun_S181;181;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.25561008846736;0.862490230135919
48;FunITS-BC23-182_S23_L001;Fun_S182;182;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.37041273578386;0.862490230135919
49;FunITS-BC24-183_S24_L001;Fun_S183;183;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.28436216383926;0.862490230135919
50;FunITS-BC25-184_S25_L001;Fun_S184;184;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.31716959791257;0.862490230135919
51;FunITS-BC26-185_S26_L001;Fun_S185;185;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.27391151821022;0.862490230135919
52;FunITS-BC27-186_S27_L001;Fun_S186;186;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;0.900943566884404;0.038597930654554
53;FunITS-BC28-187_S28_L001;Fun_S187;187;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.07460827294906;0.038597930654554
54;FunITS-BC293-111_S293_L001;Fun_S111;111;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.30992858594793;0.0597088054740608
55;FunITS-BC294-112_S294_L001;Fun_S112;112;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.79037035243204;0.0597088054740608
56;FunITS-BC30-189_S30_L001;Fun_S189;189;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.45563402622457;0.310635456337401
