Absidia;Achroiostachys;Acremonium;Acrophialophora;Agaricus;Alternaria;Amanita;Ampelomyces;Angustimassarina;Aniptodera;Aphanoascus;Apodus;Arrhenia;Arthrobotrys;Articulospora;Ascobolus;Aspergillus;Atractiella;Aureobasidium;Auxarthron;Barnettozyma;Beauveria;Betamyces;Biappendiculispora;Bipolaris;Biscogniauxia;Bjerkandera;Blumeria;Botryoderma;Botryotrichum;Bovista;Byssochlamys;Byssonectria;Cadophora;Candelariella;Capronia;Cephalotrichum;Chaetomium;Cheilymenia;Chloridium;Chromelosporium;Chrysosporium;Ciliolarina;Cladophialophora;Cladorrhinum;Cladosporium;Clarireedia;Clitopilus;Clonostachys;Colletotrichum;Conocybe;Coprinellus;Coprinopsis;Coprinus;Cortinarius;Crocicreas;Curvularia;Cyberlindnera;Cyphellophora;Dactylaria;Dactylella;Dendryphion;Dichotomopilus;Dictyosporium;Dinemasporium;Drechmeria;Efibulobasidium;Eleutherascus;Emericellopsis;Entoloma;Equiseticola;Erysiphe;Exophiala;Exserohilum;Filobasidium;Flammulina;Fontanospora;Fusarium;Fusicolla;Fusidium;Gaertneriomyces;Gamsia;Ganoderma;Gelasinospora;Geminibasidium;Geomyces;Gibberella;Gliomastix;Glomus;Gongronella;Gymnoascus;Gyrothrix;Heteroconium;Hirsutella;Humicola;Hymenoscyphus;Hyphoderma;Hyphodiscus;Hyphodontia;Hypholoma;Ilyonectria;Iodophanus;Itersonilia;Jackrogersella;Knufia;Lachnum;Lactarius;Lambertella;Lecanicillium;Lepista;Leucothecium;Lobulomyces;Lycoperdon;Malassezia;Marasmiellus;Marasmius;Mariannaea;Meliniomyces;Metacordyceps;Metapochonia;Metarhizium;Microdochium;Microscypha;Minimedusa;Mollisia;Monocillium;Mortierella;Mrakia;Mycoarthris;Mycosphaerella;Myriodontium;Myrmecridium;Naganishia;Neobulgaria;Neodevriesia;Neoroussoella;Neosetophoma;Oidiodendron;Operculomyces;Ophiosphaerella;Orbilia;Paragibellulopsis;Paramyrothecium;Paranamyces;Paraphaeosphaeria;Paraphoma;Penicillium;Periconia;Peziza;Phaeoacremonium;Phaeosphaeria;Phialemoniopsis;Phialemonium;Phialocephala;Phlyctochytrium;Pholiotina;Phomatospora;Platystomum;Pleurophoma;Podospora;Preussia;Psathyrella;Pseudallescheria;Pseudeurotium;Pseudocoleophoma;Pseudogymnoascus;Pseudombrophila;Pseudopithomyces;Pseudorobillarda;Pseudotaeniolina;Pyrenochaeta;Radulomyces;Ramicandelaber;Ramophialophora;Rhizoctonia;Rhizophlyctis;Rhizophydium;Rhodotorula;Romagnesiella;Sarocladium;Schizothecium;Schwanniomyces;Sclerostagonospora;Sclerotinia;Scutellinia;Scytalidium;Serendipita;Setophaeosphaeria;Setophoma;Simocybe;Slooffia;Slopeiomyces;Smittium;Solicoccozyma;Spegazzinia;Spizellomyces;Sporidesmiella;Sporobolomyces;Staphylotrichum;Stemphylium;Striatibotrys;Subulicystidium;Symmetrospora;Syncephalis;Talaromyces;Tausonia;Tetracladium;Thelonectria;Tolypocladium;Torula;Trametes;Trichocladium;Trichoderma;Trichopezizella;Udeniozyma;Umbelopsis;Ustilago;Valsonectria;Volutella;Vuilleminia;Waitea;Zopfiella
FunITS-BC94-6_S94_L001;0;0;9;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;310;0;0;3252;0;0;0;0;0;0;6;0;0;0;0;0;168;0;0;0;5;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7508;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;61;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;76;0;0;0;0;0;138;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;0;0;0
FunITS-BC20-179_S20_L001;0;0;5;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;3177;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;4;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;152;0;0;0;0;2617;0;1811;0;0;0;0;0;0;962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2095;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;24;322;0;0;81;0;0;51;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;472;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;8;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;34;0;0;0;45;17;0;0;0;0;0;0;0;0;0
FunITS-BC124-59_S124_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;52;0;0;4285;0;0;0;0;0;38;0;0;0;0;0;7;8;0;0;0;7;38;0;0;11;0;0;0;0;0;0;172;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;201;0;0;0;0;2844;0;952;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;11;0;0;0;0;0;0;38;0;0;0;0;18;0;0;0;0;0;0;0;0;40;0;0;0;382;0;0;15;16;0;0;0;0;0;0;0;0;245;0;11;0;0;0;0;94;569;15;0;0;0;26;0;0;0;0;0;0;14;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;12;21;0;0;0;0;0;7;0;0;0;0;16;0;28;0;0;0;0;0;0;0;38;0;0;0;0;30;0;0;0;0;1201;461;0;0;0;0;0;426;0;0;0
FunITS-BC22-181_S22_L001;0;0;20;0;0;25;0;0;0;0;0;0;0;0;0;0;0;12;22;0;0;0;0;0;8;0;0;5600;0;0;0;0;0;10;0;0;0;0;0;11;0;0;0;0;32;18;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;101;0;0;0;0;1963;0;3208;0;0;0;25;0;0;100;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;56;27;0;0;0;0;0;0;18;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;53;0;0;0;0;0;35;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;503;0;0;0;0;0;37;0;0;0;0;0;15;0;0;0
FunITS-BC53-212_S53_L001;0;18;92;0;0;0;0;0;0;0;0;22;0;2112;0;58;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;14;7;0;0;0;0;14;0;3933;0;0;0;0;12;0;0;124;0;0;0;0;0;0;0;0;0;0;0;330;0;0;0;0;0;0;0;2390;0;0;0;53;0;0;0;0;927;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;4;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;632;0;0;0;0;0;0;0;0;0;0;0;50;12;0;0;0;0;0;0;428;46;96;0;0;0;0;0;0;0;0;0;0;11;0;0;0;26;0;0;0;0;112;0;15;0;0;0;0;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;0;6;0;192;0;294;0;0;25;0;0;0;0;0;0;0;15;0;0;0;0;0;230;0;0;0;0;0;10;0;0;0
FunITS-BC46-205_S46_L001;0;0;23;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;6335;0;0;0;0;0;28;0;0;0;0;0;17;17;13;0;0;0;33;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3501;0;0;0;163;0;0;0;0;1120;0;563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;8;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;0;79;0;0;0;0;16;0;0;0;0;0;43;0;26;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;36;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0
FunITS-BC95-7_S95_L001;0;0;10;0;0;8;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;18;0;0;5287;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;82;17;0;0;8;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;95;0;0;0;0;1090;0;852;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5555;0;0;14;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;15;111;0;0;0;0;12;0;21;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;7;0;0;0;0;0;15;0;0;0
FunITS-BC93-5_S93_L001;0;0;99;0;0;2;0;0;0;0;0;102;0;405;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;10;0;0;8;0;0;0;0;0;0;16;155;0;0;0;35;4;0;0;49;0;0;0;3;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;7875;0;0;0;4;0;0;0;0;1286;17;439;0;18;0;0;0;0;47;30;0;0;0;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;37;0;4;0;6;0;0;0;0;28;1549;0;0;0;0;2;0;0;0;0;0;0;0;36;0;7;0;0;0;0;35;189;9;0;0;0;0;0;0;0;0;0;0;51;0;0;0;2;0;0;0;18;0;0;28;0;0;0;0;0;0;0;0;4;161;0;0;0;0;20;0;8;0;0;0;0;0;525;0;0;0;0;25;0;0;19;0;7;0;0;0;20;0;0;0;56;15;0;12;0;0;0;7;0;0;0
FunITS-BC141-82_S141_L001;0;0;0;0;0;28;0;0;0;0;0;18;0;290;0;247;0;0;0;0;0;0;0;0;0;0;3;83;0;0;0;0;14;14;0;0;0;0;36;9;8022;0;0;0;0;39;0;0;33;0;0;0;3;0;0;34;0;0;0;29;0;0;0;0;0;0;0;0;155;0;0;0;47;0;0;0;0;248;0;526;0;0;5;0;0;0;18;18;0;0;0;0;0;0;20;11;0;0;0;0;0;55;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;25;0;20;42;0;18;1229;0;0;0;0;0;0;0;0;0;0;0;44;24;0;0;0;7;0;0;542;63;0;0;0;0;0;0;33;0;0;0;0;10;0;3;0;190;0;0;14;0;288;0;39;0;0;0;0;0;0;0;0;0;129;31;0;4;15;0;0;0;0;0;0;0;0;533;0;44;0;0;0;0;0;0;0;36;0;10;25;19;0;0;0;23;65;0;13;0;0;0;73;0;0;0
FunITS-BC60-219_S60_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4158;0;0;0;0;0;1372;0;0;0;0;0;0;28;0;0;0;7;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;25;0;0;0;0;0;0;0;208;0;0;0;76;0;0;0;0;6709;0;842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;7;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
