Absidia;Achroiostachys;Acremonium;Acrophialophora;Agaricus;Alternaria;Amanita;Ampelomyces;Angustimassarina;Aniptodera;Aphanoascus;Apodus;Arrhenia;Arthrobotrys;Articulospora;Ascobolus;Aspergillus;Atractiella;Aureobasidium;Auxarthron;Barnettozyma;Beauveria;Betamyces;Biappendiculispora;Bipolaris;Biscogniauxia;Bjerkandera;Blumeria;Botryoderma;Botryotrichum;Bovista;Byssochlamys;Byssonectria;Cadophora;Candelariella;Capronia;Cephalotrichum;Chaetomium;Cheilymenia;Chloridium;Chromelosporium;Chrysosporium;Ciliolarina;Cladophialophora;Cladorrhinum;Cladosporium;Clarireedia;Clitopilus;Clonostachys;Colletotrichum;Conocybe;Coprinellus;Coprinopsis;Coprinus;Cortinarius;Crocicreas;Curvularia;Cyberlindnera;Cyphellophora;Dactylaria;Dactylella;Dendryphion;Dichotomopilus;Dictyosporium;Dinemasporium;Drechmeria;Efibulobasidium;Eleutherascus;Emericellopsis;Entoloma;Equiseticola;Erysiphe;Exophiala;Exserohilum;Filobasidium;Flammulina;Fontanospora;Fusarium;Fusicolla;Fusidium;Gaertneriomyces;Gamsia;Ganoderma;Gelasinospora;Geminibasidium;Geomyces;Gibberella;Gliomastix;Glomus;Gongronella;Gymnoascus;Gyrothrix;Heteroconium;Hirsutella;Humicola;Hymenoscyphus;Hyphoderma;Hyphodiscus;Hyphodontia;Hypholoma;Ilyonectria;Iodophanus;Itersonilia;Jackrogersella;Knufia;Lachnum;Lactarius;Lambertella;Lecanicillium;Lepista;Leucothecium;Lobulomyces;Lycoperdon;Malassezia;Marasmiellus;Marasmius;Mariannaea;Meliniomyces;Metacordyceps;Metapochonia;Metarhizium;Microdochium;Microscypha;Minimedusa;Mollisia;Monocillium;Mortierella;Mrakia;Mycoarthris;Mycosphaerella;Myriodontium;Myrmecridium;Naganishia;Neobulgaria;Neodevriesia;Neoroussoella;Neosetophoma;Oidiodendron;Operculomyces;Ophiosphaerella;Orbilia;Paragibellulopsis;Paramyrothecium;Paranamyces;Paraphaeosphaeria;Paraphoma;Penicillium;Periconia;Peziza;Phaeoacremonium;Phaeosphaeria;Phialemoniopsis;Phialemonium;Phialocephala;Phlyctochytrium;Pholiotina;Phomatospora;Platystomum;Pleurophoma;Podospora;Preussia;Psathyrella;Pseudallescheria;Pseudeurotium;Pseudocoleophoma;Pseudogymnoascus;Pseudombrophila;Pseudopithomyces;Pseudorobillarda;Pseudotaeniolina;Pyrenochaeta;Radulomyces;Ramicandelaber;Ramophialophora;Rhizoctonia;Rhizophlyctis;Rhizophydium;Rhodotorula;Romagnesiella;Sarocladium;Schizothecium;Schwanniomyces;Sclerostagonospora;Sclerotinia;Scutellinia;Scytalidium;Serendipita;Setophaeosphaeria;Setophoma;Simocybe;Slooffia;Slopeiomyces;Smittium;Solicoccozyma;Spegazzinia;Spizellomyces;Sporidesmiella;Sporobolomyces;Staphylotrichum;Stemphylium;Striatibotrys;Subulicystidium;Symmetrospora;Syncephalis;Talaromyces;Tausonia;Tetracladium;Thelonectria;Tolypocladium;Torula;Trametes;Trichocladium;Trichoderma;Trichopezizella;Udeniozyma;Umbelopsis;Ustilago;Valsonectria;Volutella;Vuilleminia;Waitea;Zopfiella
FunITS-BC82-241_S82_L001;0;0;66;0;0;7;0;0;0;0;0;27;0;1752;0;231;0;0;0;0;0;0;0;0;0;0;0;306;0;0;0;0;8;119;0;0;0;0;0;117;3801;0;0;0;5;12;0;0;497;0;0;0;0;0;0;0;0;0;0;0;436;0;0;0;0;0;0;0;3168;9;0;0;82;0;0;0;0;501;9;182;0;0;0;0;0;0;85;4;0;0;0;0;0;0;0;22;0;0;2;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;17;0;0;0;0;0;24;41;0;12;535;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;233;54;151;0;0;0;0;0;10;0;0;0;0;22;0;0;0;42;0;0;0;0;21;0;15;0;0;0;0;0;0;0;0;0;372;12;0;0;10;0;0;0;0;0;0;15;0;281;0;0;0;0;11;0;0;3;0;0;0;0;14;6;0;0;0;10;349;0;0;0;0;0;0;0;0;0
FunITS-BC324-245_S324_L001;0;0;38;0;0;0;0;0;0;0;0;0;81;628;0;393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;5;10123;0;0;0;0;0;0;0;52;0;14;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;192;25;0;0;42;0;0;0;0;76;5;34;0;11;5;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;8;0;0;4;0;0;15;13;0;27;453;0;0;19;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;20;306;19;0;0;0;0;0;0;0;0;0;0;0;17;0;18;0;139;0;0;0;8;0;0;0;0;0;8;0;0;0;0;0;0;142;34;0;0;0;0;0;0;0;0;0;0;0;548;0;9;0;0;0;0;0;0;0;15;0;0;31;13;0;0;0;10;94;0;0;0;0;0;0;0;0;0
FunITS-BC143-84_S143_L001;0;0;19;0;0;0;0;0;0;0;0;42;0;2008;0;38;0;0;0;0;0;0;3;0;8;0;0;366;0;0;0;0;0;0;0;0;0;0;43;16;1488;0;0;0;9;51;0;0;145;0;0;0;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;54;0;0;0;0;591;15;192;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;12;0;0;0;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;178;0;28;2863;0;0;0;0;0;2;0;0;0;0;0;125;39;0;0;0;4;0;0;2925;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;0;0;14;16;0;64;0;0;0;0;0;2;0;0;0;650;83;0;0;0;0;0;0;0;0;0;0;0;609;0;39;0;0;0;0;0;4;0;31;0;0;19;46;0;0;0;9;81;0;18;0;0;0;484;0;0;0
FunITS-BC39-198_S39_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;3574;0;0;0;0;0;13;0;0;0;0;0;0;38;7;7;0;0;0;0;0;1004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;9;0;0;65;0;0;0;0;2933;0;3778;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;5;2157;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;6;19;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
FunITS-BC26-185_S26_L001;0;0;35;0;0;0;0;0;0;0;0;0;0;296;0;0;0;0;0;0;0;0;0;0;21;0;0;6687;0;0;0;0;0;13;0;0;0;0;0;0;38;16;0;0;0;70;0;0;758;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;996;0;0;0;530;0;0;0;0;1583;0;941;0;0;0;0;0;0;0;25;0;0;0;12;14;0;0;1532;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;13;0;0;0;0;192;0;0;49;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;59;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;8;0;20;0;0;0;0;8;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;33;0;0;13;0;0;0;0;0;0
FunITS-BC66-225_S66_L001;7;0;5;0;0;0;0;0;0;0;0;19;0;440;0;123;0;0;0;0;0;0;0;18;0;0;0;21;0;0;0;0;6;15;0;4;0;0;197;47;2872;0;0;0;0;25;0;0;788;0;0;0;0;996;0;32;0;0;0;0;0;0;0;0;0;0;0;0;234;23;0;0;91;0;0;0;0;836;6;32;0;4;0;0;0;0;0;12;0;0;0;0;0;9;0;11;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;173;0;0;1548;0;0;0;0;0;4;0;0;0;0;0;16;0;0;0;0;0;0;0;4520;17;8;0;0;0;0;0;250;0;0;0;0;3;0;0;0;120;0;0;0;33;0;0;18;0;0;0;0;0;0;0;0;0;76;22;0;0;0;0;0;486;0;0;0;0;0;257;0;0;0;0;0;0;0;0;0;7;0;0;14;10;0;0;0;13;101;0;0;0;0;0;0;0;0;0
FunITS-BC154-87_S154_L001;0;0;0;0;0;0;0;0;0;0;0;11;0;1828;0;63;0;0;0;0;0;0;0;0;17;0;0;32;0;17;0;0;12;38;0;3;0;0;113;22;220;4;0;0;0;301;0;0;109;0;0;0;57;0;0;22;0;0;0;0;0;0;8;4;0;0;0;0;473;0;0;0;174;0;0;0;0;486;17;999;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;72;0;0;0;0;0;41;0;0;0;0;0;5;0;0;7;0;0;0;0;0;241;0;0;0;9;28;0;503;0;91;3314;0;0;14;0;0;6;0;0;0;0;0;0;19;0;2;0;7;6;0;510;1380;2005;0;0;0;0;0;41;0;0;0;0;16;0;0;0;52;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;6;34;31;0;0;0;0;0;0;0;0;0;0;0;929;0;0;0;0;0;0;0;8;0;0;0;0;23;27;0;0;0;55;52;0;5;0;0;0;81;0;0;0
FunITS-BC98-12_S98_L001;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;8301;0;0;0;0;0;52;0;0;0;0;0;0;453;0;0;0;18;0;0;11;79;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;2097;0;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1569;0;0;0;0;0;205;0;0;0;0;0;0;14;0;0;0;0;12;0;0;0;0;0;0;0;0;47;0;0;0;114;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;1368;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0
FunITS-BC24-183_S24_L001;0;0;18;0;0;18;0;0;0;0;0;0;0;50;0;0;0;6;0;0;0;0;0;0;213;0;0;2775;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;6;74;0;0;39;0;0;0;0;0;0;0;0;0;0;0;516;0;0;0;0;0;0;0;221;0;0;0;28;0;0;0;0;6339;0;499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;130;0;0;0;0;0;0;0;0;0;8;0;0;36;0;0;0;0;0;19;20;3995;0;0;0;0;0;0;11;0;0;0;0;7;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;16;0;0;0;0;25;6;0;0;0;0;0;0;0;0;0
FunITS-BC40-199_S40_L001;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;480;0;0;0;0;0;0;0;0;9;0;0;2285;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2636;0;0;0;694;0;0;0;0;2016;0;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;764;0;0;0;0;75;0;0;15;0;4632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;205;0;0;0;0;0;0;0;0
FunITS-BC51-210_S51_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;7434;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1410;0;0;0;819;0;0;0;0;1272;0;0;0;0;0;0;0;0;534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;0;0;0;3798;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FunITS-BC78-237_S78_L001;0;0;162;0;0;0;0;0;0;0;0;0;0;11;0;1200;0;0;0;0;0;0;0;0;0;0;0;7;0;12;0;0;9;6;0;0;0;0;0;42;7368;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1061;16;0;0;32;0;0;0;0;143;17;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;49;575;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;506;14;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;131;0;0;0;0;0;0;120;0;0;0;14;0;0;0;0;0;680;34;0;0;0;14;0;0;0;0;9;0;0;968;0;0;0;0;0;0;0;0;0;5;0;0;0;12;0;0;0;7;2965;0;36;0;0;0;0;0;0;0
FunITS-BC36-195_S36_L001;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;3171;0;0;0;0;0;9;0;4;0;0;0;0;37;0;0;0;0;31;0;0;66;0;0;0;0;183;0;10;0;0;0;0;0;0;0;0;0;0;0;0;1732;0;0;0;40;0;0;0;0;9379;0;87;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;344;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;8;6;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;14;0;0;0;0;0;0;0;0;0;689;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;4;502;0;0;0;0;22;0;0;0;0;0;20;0;0;0
FunITS-BC30-189_S30_L001;0;0;24;130;0;0;0;0;0;0;0;366;0;2336;0;2790;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;27;4729;0;0;0;0;24;0;0;122;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;512;0;0;0;33;0;0;0;0;96;5;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;237;0;0;0;0;0;0;0;13;0;0;0;48;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;25;0;11;0;132;0;0;0;0;0;0;36;0;0;0;0;0;0;0;15;0;4857;6;0;0;0;0;0;0;0;0;0;0;0;384;0;12;0;0;0;0;0;0;0;104;0;0;43;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0
FunITS-BC156-89_S156_L001;0;0;60;0;0;0;0;0;0;0;0;0;0;9;0;0;0;12;0;0;0;0;0;0;75;0;0;5532;0;0;0;0;0;18;0;0;0;0;0;0;56;23;0;0;401;136;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;131;0;0;0;0;8316;0;31;0;0;0;0;0;0;0;8;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431;0;0;0;0;0;16;0;0;0;0;0;0;0;462;0;0;0;0;686;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;48;926;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;7;0;16;0;0;0
FunITS-BC100-18_S100_L001;0;0;15;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;7093;0;16;0;0;0;0;0;0;0;0;0;13;9;25;0;0;0;17;0;0;14;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;7008;0;900;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;14;0;0;0;0;0;0;0;8;96;0;0;0;1112;0;0;55;0;0;0;0;0;0;0;0;0;414;0;0;0;0;0;42;52;209;0;0;0;0;0;0;45;0;0;0;0;34;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;23;0;0;10;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;0;0;0;29;0;0;0;0;0;0;0;0;0
FunITS-BC41-200_S41_L001;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;8;0;0;2410;0;0;0;0;0;79;0;0;0;0;0;0;14;0;0;0;0;15;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;792;0;0;0;277;0;0;0;0;1080;0;4314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;8342;0;0;0;0;0;0;36;131;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;7;10;0;14;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;0;3;0;0
FunITS-BC326-247_S326_L001;0;0;20;0;0;0;0;0;0;0;0;36;0;977;0;51;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;11;0;0;0;0;89;18;2606;0;0;4;0;23;0;0;14;0;0;0;0;9038;0;0;0;0;0;0;0;0;13;0;0;0;0;0;719;35;0;0;18;0;0;0;0;72;0;26;0;0;0;0;0;0;9;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;52;42;0;45;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;33;374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;8;0;0;121;0;0;0;0;0;0;0;0;0;1994;0;0;0;0;4;0;0;0;19;0;0;0;501;0;431;0;0;0;0;0;0;0;38;0;0;9;9;0;0;0;10;31;0;7;0;0;0;0;0;0;0
FunITS-BC57-216_S57_L001;0;0;40;0;0;0;0;0;0;0;0;0;0;1896;0;76;0;0;0;0;0;0;0;4;0;0;0;60;0;0;0;0;12;0;0;0;0;0;164;3320;3862;0;0;0;0;18;0;0;107;0;0;4;0;2292;0;13;0;0;0;0;0;0;0;0;0;0;0;0;548;0;0;0;97;0;0;0;0;437;28;1074;0;0;0;0;0;0;49;9;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;11;0;9;0;0;4;0;0;0;0;0;0;0;0;0;0;5;26;968;0;9;638;0;0;0;0;0;0;0;0;0;0;0;0;9;0;6;0;0;0;0;1480;57;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;158;22;0;0;0;0;0;0;0;0;0;0;0;226;0;36;0;0;0;0;0;8;0;16;0;0;78;9;0;0;0;6;27;0;0;0;0;0;0;0;0;0
FunITS-BC61-220_S61_L001;0;0;22;19;0;0;0;0;0;0;0;3;0;2498;0;17;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;17;0;0;0;0;26;0;2135;0;0;0;0;8;0;0;54;0;0;0;0;8;0;52;0;0;0;0;144;0;0;0;0;0;0;0;3503;0;0;0;51;0;0;0;0;1048;31;460;0;0;0;0;0;0;79;8;0;0;0;0;0;0;11;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;14;0;0;0;0;557;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;106;32;24;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;285;0;16;0;0;0;0;0;0;0;0;0;150;16;0;0;9;0;0;0;0;0;0;0;0;258;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;2;6362;0;0;0;0;0;0;0;0;0
FunITS-BC33-192_S33_L001;0;0;82;0;0;8;0;0;0;0;0;13;0;4664;6;285;9;0;0;0;0;0;0;0;0;0;0;193;0;14;0;0;20;21;0;0;0;0;133;11;3881;0;0;0;0;17;0;0;266;0;0;0;0;0;0;24;0;0;0;0;117;0;0;0;0;0;0;0;1730;0;0;0;171;0;0;0;0;372;0;460;0;0;0;0;0;0;7;9;0;0;0;0;0;0;0;221;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;8;710;0;0;8;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;337;62;49;0;0;0;0;0;0;0;0;0;0;8;0;0;0;30;0;3;0;0;25;0;30;0;0;0;0;0;0;0;4;0;987;0;0;0;0;0;0;0;0;0;0;0;0;490;0;11;0;0;153;0;0;0;0;0;0;0;26;21;0;0;0;17;2483;0;0;0;0;0;0;0;0;0
FunITS-BC54-213_S54_L001;0;0;10;0;0;0;0;0;0;0;0;11;0;2683;0;610;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0;19;10;0;0;0;0;0;0;9784;0;0;0;34;10;0;0;182;0;0;0;0;0;0;11;0;0;0;0;1138;0;0;0;0;0;0;0;1608;0;0;0;45;0;0;0;0;301;0;592;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;30;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;38;9;45;0;0;3;368;0;0;0;0;0;0;0;0;0;0;2;0;29;0;0;0;0;0;0;146;40;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;82;12;0;0;0;0;0;0;0;0;0;0;0;139;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;27;0;0;0
FunITS-BC153-86_S153_L001;0;0;0;0;0;0;0;0;0;0;0;57;0;56;0;127;0;0;0;0;0;0;0;0;8;0;0;126;0;0;0;0;51;30;0;0;0;0;37;0;14440;0;0;0;6;17;0;0;143;0;0;0;0;2;0;207;0;0;0;0;0;0;0;0;0;0;0;0;177;0;0;0;50;0;0;0;0;213;0;173;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;20;0;0;0;0;0;32;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;87;0;0;13;750;0;0;0;0;0;0;0;0;0;0;0;29;30;0;5;0;0;0;0;284;61;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;49;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;88;29;0;0;0;0;0;21;0;0;0;0;0;354;0;425;0;0;0;0;0;0;0;0;0;0;30;59;0;0;0;0;9;0;0;0;0;0;35;0;0;0
FunITS-BC74-233_S74_L001;0;0;1125;0;0;0;0;0;0;0;0;0;0;499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;85;0;5768;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9146;0;0;0;25;0;0;0;0;475;36;18;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;143;0;0;13;0;0;0;0;0;0;0;49;0;0;0;0;0;0;4;0;587;27;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;67;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;389;0;0;0;0;0;0;0;0;0;2;0;0;37;10;0;0;0;0;5;0;0;0;0;0;0;0;0;0
FunITS-BC138-79_S138_L001;0;0;352;0;0;94;0;0;0;0;0;93;0;1551;0;620;0;0;0;0;0;0;70;0;0;0;0;99;0;0;0;0;0;7;0;0;0;0;0;6;9250;0;0;0;23;107;0;0;74;0;0;451;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;383;0;0;0;21;0;0;0;0;1408;0;511;0;0;0;0;0;0;0;8;0;0;0;0;0;0;30;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;12;732;0;7;1356;0;0;14;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;298;64;4;0;0;0;0;0;0;0;0;0;0;24;0;0;0;15;0;0;0;21;0;0;15;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;8;0;0;2;0;0;0;139;0;0;0;0;23;0;0;0;0;20;0;0;0;178;0;0;0;0;509;0;0;0;0;0;50;0;0;0
FunITS-BC69-228_S69_L001;0;0;700;0;0;23;0;0;0;0;0;12;11;447;7;545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10;0;0;0;0;21;19;13521;0;0;0;0;832;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;19;0;0;45;0;0;0;0;136;5;40;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;122;0;21;476;0;0;95;0;0;0;0;0;0;0;25;0;9;0;9;0;0;0;0;177;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;140;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;4;67;14;0;0;0;0;0;0;0;0;0;0;0;872;0;0;0;0;0;0;10;0;0;18;0;0;42;9;5;0;0;0;24;0;0;0;0;0;0;0;0;0
