X.Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC43-202_S43_L001	Fun_S202	202	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC44-203_S44_L001	Fun_S203	203	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC45-204_S45_L001	Fun_S204	204	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC46-205_S46_L001	Fun_S205	205	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC47-206_S47_L001	Fun_S206	206	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC48-207_S48_L001	Fun_S207	207	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC49-208_S49_L001	Fun_S208	208	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC50-209_S50_L001	Fun_S209	209	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC51-210_S51_L001	Fun_S210	210	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC52-211_S52_L001	Fun_S211	211	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC53-212_S53_L001	Fun_S212	212	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC54-213_S54_L001	Fun_S213	213	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC55-214_S55_L001	Fun_S214	214	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC56-215_S56_L001	Fun_S215	215	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC57-216_S57_L001	Fun_S216	216	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC58-217_S58_L001	Fun_S217	217	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC59-218_S59_L001	Fun_S218	218	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC60-219_S60_L001	Fun_S219	219	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC61-220_S61_L001	Fun_S220	220	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC62-221_S62_L001	Fun_S221	221	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC63-222_S63_L001	Fun_S222	222	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC64-223_S64_L001	Fun_S223	223	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC65-224_S65_L001	Fun_S224	224	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC66-225_S66_L001	Fun_S225	225	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC67-226_S67_L001	Fun_S226	226	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC68-227_S68_L001	Fun_S227	227	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC69-228_S69_L001	Fun_S228	228	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC70-229_S70_L001	Fun_S229	229	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC71-230_S71_L001	Fun_S230	230	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC72-231_S72_L001	Fun_S231	231	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC73-232_S73_L001	Fun_S232	232	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC74-233_S74_L001	Fun_S233	233	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC75-234_S75_L001	Fun_S234	234	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC76-235_S76_L001	Fun_S235	235	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC77-236_S77_L001	Fun_S236	236	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC78-237_S78_L001	Fun_S237	237	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
