#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC61-220_S61_L001	220	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC62-221_S62_L001	221	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC63-222_S63_L001	222	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC64-223_S64_L001	223	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC65-224_S65_L001	224	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC66-225_S66_L001	225	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC67-226_S67_L001	226	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC68-227_S68_L001	227	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC69-228_S69_L001	228	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC70-229_S70_L001	229	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC71-230_S71_L001	230	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC72-231_S72_L001	231	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC73-232_S73_L001	232	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC74-233_S74_L001	233	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC75-234_S75_L001	234	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC76-235_S76_L001	235	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC77-236_S77_L001	236	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC78-237_S78_L001	237	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC79-238_S79_L001	238	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC80-239_S80_L001	239	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC81-240_S81_L001	240	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC82-241_S82_L001	241	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC83-242_S83_L001	242	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC84-243_S84_L001	243	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC323-244_S323_L001	244	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC324-245_S324_L001	245	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC325-246_S325_L001	246	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC326-247_S326_L001	247	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC327-248_S327_L001	248	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC328-249_S328_L001	249	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC176-cas_S176_L001	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC185-cas_S185_L001	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC329-cas_S329_L001	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC332-cas_S332_L001	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC348-cas_S348_L001	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC85-cas_S85_L001	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC88-cas_S88_L001	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC186-neg_S186_L001	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
FunITS-BC331-neg_S331_L001	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
FunITS-BC377-neg_S377_L001	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
FunITS-BC87-neg_S87_L001	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
FunITS-BC187-seba_S187_L001	Empty	Empty	Empty	Seba	Empty	Empty	Empty_Empty_Empty_Seba
FunITS-BC349-seba_S349_L001	Empty	Empty	Empty	Seba	Empty	Empty	Empty_Empty_Empty_Seba
FunITS-BC86-seba_S86_L001	Empty	Empty	Empty	Seba	Empty	Empty	Empty_Empty_Empty_Seba
FunITS-BC330-sv_S330_L001	Empty	Empty	Empty	Sv	Empty	Empty	Empty_Empty_Empty_Sv
